date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_efv.us,w_gld.us,w_gsg.us,w_ief.us,w_ijh.us,w_ijr.us,w_lqd.us,w_mchi.us,w_mtum.us,w_qqq.us,w_spy.us,w_tlt.us,w_vea.us,w_vnq.us,w_vtv.us,w_vwo.us
2015-11-01,0.001118620521970204,0.00011862052197020388,0.25,2,True,0.001,1.1852538553278023,-0.08084269292294088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0
2015-12-01,-0.04070530209350945,-0.04170530209350945,0.25,2,True,0.001,1.1842077317845923,-0.08165395550143795,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
2016-01-01,0.04483758561997453,0.040837585619974526,1.0,5,True,0.004,1.15803984805939,-0.10194699351067549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-02-01,0.009314803386136106,0.005314803386136106,1.0,2,True,0.004,1.2003032098438526,-0.0691720081088466,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,0.018898899841460093,0.014898899841460093,1.0,2,True,0.004,1.206637863054307,-0.06425952226455633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-04-01,0.0022350125422125333,-0.0017649874577874668,1.0,5,True,0.004,1.224524223208392,-0.05038875647144092,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
2016-05-01,-0.01003354522274591,-0.01203354522274591,0.5,4,True,0.002,1.2170989665855503,-0.056146998767914735,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
2016-06-01,0.053887657442475256,0.052887657442475255,0.25,2,True,0.001,1.2012748973908638,-0.06841847020216407,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
2016-07-01,0.02003377499876613,0.01903377499876613,0.25,2,True,0.001,1.2647427787681516,-0.01919950612083654,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0
2016-08-01,-0.01277759770198672,-0.01477759770198672,0.5,4,True,0.002,1.287500190327248,-0.0019740424382641564,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
2016-09-01,0.005579651146242592,0.0035796511462425924,0.5,4,True,0.002,1.2685069327923069,-0.01669696378688801,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25
2016-10-01,-0.029379808905397847,-0.030379808905397848,0.25,2,True,0.001,1.2786969839609497,-0.018511513816065972,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25
2016-11-01,-0.025826459017482206,-0.026826459017482207,0.25,2,True,0.001,1.2386480938315305,-0.04925181041449034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25
2016-12-01,0.0338994453228727,0.0298994453228727,1.0,8,True,0.004,1.201831566800712,-0.07751104449049051,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0
2017-01-01,0.0005840554742522486,0.0005840554742522486,0.0,0,False,0.0,1.2266572942310505,-0.058455579482244335,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0
2017-02-01,0.03173094328638018,0.03073094328638018,0.25,2,True,0.001,1.2261463564086386,-0.058847759643880226,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
2017-03-01,-0.019982247881126097,-0.020982247881126098,0.25,2,True,0.001,1.2637880837677384,-0.029955127170009033,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0
2017-04-01,0.021435158294153933,0.01943515829415393,0.5,4,True,0.002,1.2466796664745936,-0.04308702221682226,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25
2017-05-01,0.03353192145088435,0.03153192145088435,0.5,4,True,0.002,1.2683139263074794,-0.026481229601816425,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,-0.005027862338042477,-0.006027862338042477,0.25,2,True,0.001,1.3095320863302249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
2017-07-01,0.05335615459200871,0.05235615459200871,0.25,2,True,0.001,1.302628224932508,-0.01828343832759005,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,0.01486104276733563,0.01486104276733563,0.0,0,False,0.0,1.3707593264200424,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,0.00971035717878907,0.008710357178789069,0.25,2,True,0.001,1.389739109154301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
2017-10-01,0.028312067942707714,0.027312067942707713,0.25,2,True,0.001,1.3992843707821645,-0.00896844747887593,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,0.009170577501506405,0.008170577501506404,0.25,2,True,0.001,1.436024641850005,-0.0016591245307141511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0
2017-12-01,0.0359021514870983,0.0359021514870983,0.0,0,False,0.0,1.4491938171221637,-0.01761748310606548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0
