date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_agg.us,w_dbc.us,w_efa.us,w_iau.us,w_ief.us,w_ivv.us,w_lqd.us,w_shy.us,w_spy.us,w_tlt.us,w_vwo.us
2007-08-01,0.015709426474388735,0.012909426474388735,0.7000000000000001,6,True,0.0028000000000000004,1.1471320285215612,-0.014971240217821702,0.0,0.0,0.15000000000000002,0.0,0.15000000000000002,0.5,0.05,0.0,0.0,0.0,0.15000000000000002,0.0
2007-09-01,0.09049516819302673,0.08789516819302673,0.65,6,True,0.0026,1.1641449702722753,-0.0003624275473651517,0.0,0.0,0.05,0.0,0.2,0.0,0.15000000000000002,0.0,0.0,0.0,0.1,0.5
2007-10-01,0.04750293846109996,0.04710293846109996,0.1,3,True,0.0004,1.2656873020369004,0.0,0.0,0.0,0.15000000000000002,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.05,0.5
2007-11-01,-0.022508277698842505,-0.022508277698842505,0.0,0,False,0.0,1.3258111680565545,-0.022893112110772273,0.0,0.0,0.15000000000000002,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.05,0.5
2007-12-01,0.02438481766775091,0.02198481766775091,0.6,5,True,0.0024000000000000002,1.2910538522013395,-0.04850883593700528,0.0,0.0,0.15000000000000002,0.0,0.15000000000000002,0.5,0.05,0.0,0.0,0.0,0.15000000000000002,0.0
2008-01-01,0.01801470345053052,0.01801470345053052,0.0,0,False,0.0,1.2602817735207374,-0.07118748788829354,0.0,0.0,0.15000000000000002,0.0,0.15000000000000002,0.5,0.05,0.0,0.0,0.0,0.15000000000000002,0.0
2008-02-01,0.03291603505025258,0.03291603505025258,0.0,0,False,0.0,1.2829853759348226,-0.05445520592145847,0.0,0.0,0.15000000000000002,0.0,0.15000000000000002,0.5,0.05,0.0,0.0,0.0,0.15000000000000002,0.0
2008-03-01,-0.016619824879857505,-0.016619824879857505,0.0,0,False,0.0,1.324727449540851,-0.02369179962505774,0.0,0.0,0.15000000000000002,0.0,0.15000000000000002,0.5,0.05,0.0,0.0,0.0,0.15000000000000002,0.0
2008-04-01,0.0008049062291027847,0.00020490622910278463,0.15000000000000002,4,True,0.0006000000000000001,1.3019290848891518,-0.04049392022149201,0.0,0.0,0.25,0.0,0.05,0.5,0.1,0.0,0.0,0.0,0.1,0.0
2008-05-01,0.024430292816364007,0.02243029281636401,0.5,2,True,0.002,1.3003710616879902,-0.041642164585414365,0.0,0.0,0.25,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.1,0.5
2008-06-01,0.030805893101295813,0.028405893101295814,0.6,5,True,0.0024000000000000002,1.331944889870452,-0.021221781556571395,0.0,0.0,0.25,0.0,0.15000000000000002,0.0,0.05,0.0,0.5,0.0,0.05,0.0
2008-07-01,-0.03554960375784569,-0.03554960375784569,0.0,0,False,0.0,1.3696814978243832,0.0,0.0,0.0,0.25,0.0,0.15000000000000002,0.0,0.05,0.0,0.5,0.0,0.05,0.0
2008-08-01,-0.015715404556240133,-0.018115404556240132,0.6,4,True,0.0024000000000000002,1.3178194876303482,-0.04558822837889687,0.0,0.0,0.15000000000000002,0.0,0.15000000000000002,0.5,0.05,0.0,0.0,0.0,0.15000000000000002,0.0
2008-09-01,-0.018739160116932455,-0.019339160116932454,0.15000000000000002,4,True,0.0006000000000000001,1.306095934205329,-0.05407884298817611,0.0,0.0,0.1,0.0,0.05,0.5,0.15000000000000002,0.0,0.0,0.0,0.2,0.0
2008-10-01,-0.05854339067976487,-0.06114339067976487,0.65,5,True,0.0026,1.2775216061558474,-0.07477338826738378,0.0,0.0,0.05,0.0,0.2,0.0,0.05,0.0,0.5,0.0,0.2,0.0
2008-11-01,0.03803186188432115,0.03803186188432115,0.0,0,False,0.0,1.2063661399734351,-0.12630670916385767,0.0,0.0,0.05,0.0,0.2,0.0,0.05,0.0,0.5,0.0,0.2,0.0
2008-12-01,0.058197086882302795,0.056197086882302794,0.5,2,True,0.002,1.2497419974100448,-0.09489236954432445,0.0,0.0,0.05,0.0,0.2,0.5,0.05,0.0,0.0,0.0,0.2,0.0
2009-01-01,-0.0321625598980298,-0.0341625598980298,0.5,2,True,0.002,1.3210813564993489,-0.04322586686028207,0.0,0.0,0.05,0.0,0.2,0.0,0.05,0.5,0.0,0.0,0.2,0.0
2009-02-01,-0.014595224398643126,-0.016595224398643124,0.5,2,True,0.002,1.2879894292753418,-0.06719221823440924,0.0,0.0,0.05,0.0,0.2,0.5,0.05,0.0,0.0,0.0,0.2,0.0
2009-03-01,0.029811255266027993,0.029811255266027993,0.0,0,False,0.0,1.2692786961936409,-0.0807431970114395,0.0,0.0,0.05,0.0,0.2,0.5,0.05,0.0,0.0,0.0,0.2,0.0
2009-04-01,0.07134524098450332,0.06894524098450332,0.6,5,True,0.0024000000000000002,1.3039804054398183,-0.055610984207788206,0.0,0.0,0.05,0.0,0.15000000000000002,0.0,0.15000000000000002,0.0,0.0,0.0,0.15000000000000002,0.5
2009-05-01,0.1451109644371516,0.1447109644371516,0.1,3,True,0.0004,1.3964543964243108,0.0,0.0,0.0,0.1,0.0,0.15000000000000002,0.0,0.2,0.0,0.0,0.0,0.05,0.5
2009-06-01,-0.0026638027648982834,-0.0046638027648982835,0.5,2,True,0.002,1.5958970502005791,0.0,0.0,0.0,0.1,0.0,0.15000000000000002,0.0,0.2,0.5,0.0,0.0,0.05,0.0
2009-07-01,0.0411015267293275,0.0411015267293275,0.0,0,False,0.0,1.5916458952257615,-0.008350592890702058,0.0,0.0,0.1,0.0,0.15000000000000002,0.0,0.2,0.5,0.0,0.0,0.05,0.0
2009-08-01,-0.03618888223383092,-0.03818888223383092,0.5,2,True,0.002,1.6591308608867275,0.0,0.0,0.0,0.1,0.0,0.15000000000000002,0.0,0.2,0.0,0.0,0.0,0.05,0.5
