date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_efa.us,w_gld.us,w_hyg.us,w_iau.us,w_ief.us,w_ijr.us,w_ivv.us,w_lqd.us,w_qqq.us,w_shy.us,w_spy.us,w_tlt.us,w_vea.us,w_vnq.us,w_vt.us,w_vwo.us,w_xle.us,w_xlk.us
2018-02-01,-0.032785872278164464,-0.03318587227816446,0.09999999999999998,4,True,0.0003999999999999999,1.9609854292285438,-0.01796067694862513,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.07999999999999999,0.0,0.16666666666666669,0.1,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.0,0.31999999999999995
2018-03-01,-0.021636983845948626,-0.023062909771874553,0.3564814814814815,5,True,0.0014259259259259262,1.8939882679532125,-0.05151209753774877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06481481481481483,0.08333333333333333,0.0,0.06481481481481483,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.06481481481481483,0.0,0.3333333333333333
2018-04-01,0.027406881875199834,0.02681428928260724,0.14814814814814817,5,True,0.0005925925925925926,1.879313281653229,-0.058861164693996604,0.0,0.0888888888888889,0.0,0.0,0.0,0.0,0.0,0.0888888888888889,0.09333333333333332,0.0,0.0888888888888889,0.2666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3733333333333333
2018-05-01,0.04171963166498705,0.041352964998320384,0.09166666666666667,2,True,0.00036666666666666667,1.928967661919833,-0.03399481267692184,0.0,0.09166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09166666666666667,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.09166666666666667,0.36
2018-06-01,-0.0034307284327097388,-0.004530728432709739,0.275,5,True,0.0011,2.007233094438304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1527777777777778,0.09,0.0,0.1527777777777778,0.09166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.1527777777777778,0.36
2018-07-01,0.011636706017404191,0.010081150461848635,0.38888888888888895,4,True,0.001555555555555556,1.9928212557492126,-0.022358784821752575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032407407407407406,0.08333333333333333,0.0,0.032407407407407406,0.48611111111111116,0.0,0.0,0.0,0.0,0.0,0.0,0.032407407407407406,0.3333333333333333
2018-08-01,0.03015117087590729,0.02969191161664803,0.11481481481481484,5,True,0.00045925925925925946,2.0119506819993265,-0.014800316141238001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057407407407407414,0.09666666666666666,0.0,0.057407407407407414,0.34444444444444444,0.0,0.0,0.0,0.057407407407407414,0.0,0.0,0.0,0.38666666666666666
2018-09-01,0.0016816931786836587,0.001326137623128103,0.08888888888888895,4,True,0.0003555555555555558,2.0787275156980276,-0.0008843141766707863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02962962962962963,0.09333333333333332,0.0,0.02962962962962963,0.44444444444444453,0.0,0.0,0.0,0.02962962962962963,0.0,0.0,0.0,0.3733333333333333
2018-10-01,-0.04697841705699253,-0.04743767631625179,0.11481481481481484,5,True,0.00045925925925925946,2.0805270112016805,-1.940804025279963e-05,0.0,0.057407407407407414,0.0,0.0,0.0,0.0,0.0,0.057407407407407414,0.09666666666666666,0.0,0.057407407407407414,0.34444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38666666666666666
2018-11-01,-0.00022668311600095373,-0.0009377942271120651,0.17777777777777784,4,True,0.0007111111111111114,1.9813771636009256,-0.04932360421119941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09333333333333332,0.0,0.0,0.5333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3733333333333333
2018-12-01,-0.0468337853737929,-0.0468337853737929,0.0,0,False,0.0,1.9637119443746813,-0.05779948010870095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2019-01-01,0.03743871851080751,0.03543871851080751,0.5,2,True,0.002,1.869202253022333,-0.10314578488727921,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2019-02-01,0.029956085376926136,0.0296227520435928,0.08333333333333331,4,True,0.00033333333333333327,1.9346593229581655,-0.07173909843269244,0.0,0.0,0.0,0.027777777777777773,0.0,0.0,0.4166666666666667,0.0,0.1,0.0,0.0,0.0,0.0,0.027777777777777773,0.0,0.027777777777777773,0.0,0.0,0.0,0.4
2019-03-01,0.03554757064974599,0.03543275583493117,0.0287037037037037,2,True,0.0001148148148148148,1.9923853611881628,-0.0440418063795609,0.0,0.0,0.0,0.0287037037037037,0.0,0.0,0.43055555555555564,0.0,0.09666666666666666,0.0287037037037037,0.0,0.0,0.0,0.0287037037037037,0.0,0.0,0.0,0.0,0.0,0.38666666666666666
2019-04-01,0.020939795823047128,0.01979164767489898,0.28703703703703715,5,True,0.0011481481481481486,2.0608409500417832,-0.011196412943872858,0.0,0.0,0.0,0.0,0.0,0.0,0.17222222222222222,0.0,0.09666666666666666,0.11481481481481483,0.0,0.0,0.0,0.11481481481481483,0.0,0.11481481481481483,0.0,0.0,0.0,0.38666666666666666
2019-05-01,-0.020959513251936117,-0.021337291029713896,0.09444444444444448,4,True,0.00037777777777777793,2.1031996963781228,-0.0016533528892702654,0.0,0.0,0.0,0.0,0.0,0.0,0.2833333333333334,0.0,0.08666666666666666,0.09444444444444446,0.0,0.0,0.0,0.09444444444444446,0.0,0.09444444444444446,0.0,0.0,0.0,0.3466666666666666
2019-06-01,0.056292191982792686,0.05519219198279269,0.27499999999999997,4,True,0.0010999999999999998,2.0660449763421114,-0.020116244082898915,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36
2019-07-01,0.018142883428531185,0.016142883428531186,0.49999999999999994,4,True,0.0019999999999999996,2.1755867017111674,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.1,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.4
2019-08-01,0.009918783624338769,0.007518783624338769,0.6,4,True,0.0024,2.209741978146667,-0.008225479036068628,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.07999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31999999999999995
2019-09-01,0.0031020415847200066,0.0031020415847200066,0.0,0,False,0.0,2.2383842380644965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2019-10-01,0.026134021356681466,0.0250673546900148,0.2666666666666667,6,True,0.0010666666666666667,2.242932782734565,-0.012349351611344761,0.0,0.0,0.0,0.05555555555555556,0.0,0.1,0.3333333333333333,0.0,0.0,0.05555555555555556,0.0,0.0,0.0,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.4
2019-11-01,-0.0005405960983417878,-0.0012517072094528992,0.17777777777777784,4,True,0.0007111111111111114,2.2999129784612315,0.0,0.0,0.0,0.0,0.11851851851851855,0.0,0.09333333333333332,0.1777777777777778,0.0,0.0,0.11851851851851855,0.0,0.0,0.0,0.11851851851851855,0.0,0.0,0.0,0.0,0.0,0.3733333333333333
2019-12-01,0.03867458739561184,0.037950142951167394,0.1811111111111111,6,True,0.0007244444444444444,2.3179111854485264,-0.0006071703539445306,0.0,0.0,0.0,0.15740740740740744,0.0,0.0,0.09444444444444446,0.0,0.08666666666666666,0.15740740740740744,0.0,0.0,0.0,0.15740740740740744,0.0,0.0,0.0,0.0,0.0,0.3466666666666666
2020-01-01,0.02673637735855263,0.025699340321515593,0.25925925925925924,5,True,0.001037037037037037,2.282334417033675,-0.043957642544655506,0.0,0.0,0.0,0.19444444444444445,0.0,0.0,0.0,0.0,0.08333333333333333,0.19444444444444445,0.0,0.0,0.0,0.0,0.0,0.19444444444444445,0.0,0.0,0.0,0.3333333333333333
2020-02-01,0.0016684693541687452,0.00033513602083541194,0.3333333333333333,5,True,0.0013333333333333333,2.331154794731929,-0.02350737520514734,0.0,0.0,0.0,0.13333333333333336,0.0,0.0,0.2,0.0,0.07999999999999999,0.13333333333333336,0.0,0.0,0.0,0.13333333333333336,0.0,0.0,0.0,0.0,0.0,0.31999999999999995
2020-03-01,-0.037326845614547924,-0.0391846233923257,0.46444444444444455,6,True,0.001857777777777778,2.286393845439853,-0.043681666820906795,0.0,0.0,0.0,0.0,0.0,0.08666666666666666,0.5666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3466666666666666
2020-04-01,0.07100947957398836,0.07100947957398836,0.0,0,False,0.0,2.19696091362507,-0.0810883246699089,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2020-05-01,0.044013144829152154,0.044013144829152154,0.0,0,False,0.0,2.3529659647459806,-0.016240520750269494,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2020-06-01,0.0299563797617321,0.0299563797617321,0.0,0,False,0.0,2.456527396530412,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2020-07-01,0.05431767318134025,0.05398433984800692,0.08333333333333331,4,True,0.00033333333333333327,2.529272692094603,-0.0008062556048771263,0.0,0.0,0.0,0.027777777777777773,0.0,0.1,0.4166666666666667,0.0,0.0,0.0,0.027777777777777773,0.0,0.0,0.027777777777777773,0.0,0.0,0.0,0.0,0.0,0.4
2020-08-01,0.04530979048340413,0.044965346038959686,0.08611111111111115,4,True,0.00034444444444444464,2.640252158542854,0.0,0.0,0.0,0.0,0.057407407407407414,0.0,0.09666666666666666,0.34444444444444444,0.0,0.0,0.0,0.057407407407407414,0.0,0.0,0.057407407407407414,0.0,0.0,0.0,0.0,0.0,0.38666666666666666
2020-09-01,-0.037180524865910225,-0.03789163597702134,0.17777777777777784,4,True,0.0007111111111111114,2.7569688984935556,0.0,0.0,0.0,0.0,0.11851851851851855,0.0,0.09333333333333332,0.1777777777777778,0.0,0.0,0.0,0.11851851851851855,0.0,0.0,0.11851851851851855,0.0,0.0,0.0,0.0,0.0,0.3733333333333333
2020-10-01,-0.03351499207234886,-0.03389276985012664,0.09444444444444447,4,True,0.0003777777777777779,2.653460550543849,-0.040557280995125566,0.0,0.0,0.0,0.15740740740740744,0.0,0.08666666666666666,0.09444444444444446,0.0,0.0,0.0,0.15740740740740744,0.0,0.0,0.15740740740740744,0.0,0.0,0.0,0.0,0.0,0.3466666666666666
2020-11-01,0.054323947436436024,0.05230542891791751,0.5046296296296297,7,True,0.0020185185185185184,2.5518429982507222,-0.07730032609174664,0.0,0.0,0.0,0.032407407407407406,0.0,0.0,0.48611111111111116,0.0,0.08333333333333333,0.0,0.032407407407407406,0.0,0.0,0.0,0.0,0.0,0.0,0.032407407407407406,0.0,0.3333333333333333
2020-12-01,0.024657829533972848,0.023165236941380254,0.3731481481481482,5,True,0.0014925925925925927,2.681030752825598,-0.030588400984720154,0.0,0.0,0.0,0.14351851851851855,0.0,0.0,0.08611111111111111,0.0,0.09666666666666666,0.0,0.14351851851851855,0.0,0.0,0.14351851851851855,0.0,0.0,0.0,0.0,0.0,0.38666666666666666
2021-01-01,0.005737812355593153,0.005348923466704264,0.0972222222222222,4,True,0.00038888888888888876,2.673686662376041,-0.03324388953460522,0.0,0.0,0.0,0.19444444444444445,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.19444444444444445,0.0,0.0,0.19444444444444445,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
