date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_ief.us,w_lqd.us,w_spy.us,w_tlt.us,w_vea.us,w_vwo.us
2010-03-01,0.08972240352168415,0.08972240352168415,0.0,0,False,0.0,1.291348690248493,-0.12254224334901509,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-04-01,-0.019494214496890594,-0.019494214496890594,0.0,0,False,0.0,1.407211598522167,-0.04381462443354345,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-05-01,-0.0414649071746386,-0.0438649071746386,0.6,2,True,0.0024,1.3712700671945839,-0.0682365142665935,0.0,0.0,0.0,0.6,0.4,0.0,0.0
2010-06-01,0.04895674526074245,0.04495674526074245,1.0,2,True,0.004,1.3060108724082784,-0.11257944587790158,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2010-07-01,-0.02802093373903547,-0.02802093373903547,0.0,0,False,0.0,1.3699489139965304,-0.0691342238705992,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2010-08-01,-0.018635468847526426,-0.022635468847526426,1.0,2,True,0.004,1.354901990445236,-0.07935844904194078,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-09-01,-0.013061711518634,-0.017061711518634,1.0,2,True,0.004,1.3190368090020612,-0.10372845993725743,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2010-10-01,0.02588807843861418,0.02188807843861418,1.0,2,True,0.004,1.2966006989975358,-0.11897355903497464,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-11-01,-0.009624178025519292,-0.009624178025519292,0.0,0,False,0.0,1.330167199596746,-0.09616547742477899,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-12-01,0.05029238763777144,0.04629238763777144,1.0,2,True,0.004,1.3120959719294636,-0.10844468520855077,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-01,0.028608728466959832,0.028608728466959832,0.0,0,False,0.0,1.3634050088502032,-0.07358073810241994,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-02-01,0.0014972434855033967,0.0014972434855033967,0.0,0,False,0.0,1.4024102925388917,-0.047077060992230746,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-03-01,0.013641373345777775,0.013641373345777775,0.0,0,False,0.0,1.4045100422133985,-0.04565030332961462,0.0,0.0,0.0,0.6,0.4,0.0,0.0
2011-04-01,0.015475871295147048,0.011475871295147048,1.0,2,True,0.004,1.4179748101148577,-0.03650113616364403,0.0,0.0,0.0,0.0,0.0,0.0,1.0
