date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_efv.us,w_gld.us,w_gsg.us,w_ief.us,w_ijh.us,w_ijr.us,w_lqd.us,w_mchi.us,w_mtum.us,w_qqq.us,w_shy.us,w_spy.us,w_tlt.us,w_vea.us,w_vnq.us,w_vtv.us,w_vwo.us
2017-03-01,-0.019982247881126097,-0.020982247881126098,0.25,2,True,0.001,1.1160513883320726,-0.05472069186622264,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0
2017-04-01,0.021435158294153933,0.01943515829415393,0.5,4,True,0.002,1.1009429432395588,-0.06751732531279941,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2017-05-01,0.03353192145088435,0.03153192145088435,0.5,4,True,0.002,1.1200481603500454,-0.05133548404567234,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,-0.005027862338042477,-0.006027862338042477,0.25,2,True,0.001,1.1564479217568266,-0.02050541507343706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2017-07-01,0.05335615459200871,0.05235615459200871,0.25,2,True,0.001,1.1503511210378299,-0.02566931668740824,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,0.01486104276733563,0.01486104276733563,0.0,0,False,0.0,1.2105177038537276,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,0.00971035717878907,0.008710357178789069,0.25,2,True,0.001,1.2272787519620934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2017-10-01,0.028312067942707714,0.027312067942707713,0.25,2,True,0.001,1.235708173499294,-0.008968447478876374,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,0.009170577501506405,0.008170577501506404,0.25,2,True,0.001,1.2681535107038633,-0.0016591245307142621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0
2017-12-01,0.0359021514870983,0.0359021514870983,0.0,0,False,0.0,1.2797832107575806,-0.017617483106065812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0
2018-01-01,0.06189010994276534,0.060890109942765336,0.25,2,True,0.001,1.2605118165806835,-0.034459836860780024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2018-02-01,-0.03832351791227098,-0.03832351791227098,0.0,0,False,0.0,1.3371865064615234,-0.028608726504320003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2018-03-01,-0.03689356362971674,-0.03689356362971674,0.0,0,False,0.0,1.285940815429098,-0.06583585737395548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2018-04-01,0.018337727029130085,0.018337727029130085,0.0,0,False,0.0,1.26995767449044,-0.07744671611044451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2018-05-01,0.04007947493775421,0.03907947493775421,0.25,2,True,0.001,1.291952565852131,-0.06146865663482948,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,-0.014838193907357189,-0.01583819390735719,0.25,2,True,0.001,1.342389612989632,-0.024828960366948705,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.004844357702736016,0.003094357702736016,0.4375,6,True,0.00175,1.3259722740625814,-0.03675523967854499,0.0,0.0,0.0,0.1875,0.0,0.0,0.1875,0.0,0.0,0.1875,0.1875,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,0.024667706559844682,0.02316770655984468,0.375,6,True,0.0015,1.328068969387214,-0.03523210769083385,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.125,0.5,0.125,0.0,0.0,0.0,0.0,0.0
2018-09-01,-0.017001614618907285,-0.019001614618907287,0.5,2,True,0.002,1.3621959168923203,-0.010440787379631389,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.5,0.0,0.0,0.0,0.0
2018-10-01,-0.05875790391111701,-0.06125790391111701,0.625,7,True,0.0025,1.3330174183188526,-0.03163733606675223,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.1875,0.1875,0.25,0.1875,0.0,0.0,0.0,0.0,0.0
