date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ivv.us,w_tlt.us,w_vt.us,w_xlk.us
2015-03-01,-0.028900555843363755,-0.028900555843363755,0.0,0,False,0.0,1.8789993988661708,-0.028743866332689327,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2015-04-01,0.027520589601145142,0.027520589601145142,0.0,0,False,0.0,1.8246952718095923,-0.056813708461950885,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2015-05-01,0.0048437866473931114,0.0048437866473931114,0.0,0,False,0.0,1.8749119615322145,-0.030856665615106027,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2015-06-01,-0.01853287991833521,-0.01853287991833521,0.0,0,False,0.0,1.883993635056523,-0.02616234207260182,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2015-07-01,0.011617772892245526,0.011617772892245526,0.0,0,False,0.0,1.849077807251113,-0.04421035844692289,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2015-08-01,-0.08554695735971744,-0.08554695735971744,0.0,0,False,0.0,1.8776586208131056,-0.029436915467623503,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2015-09-01,0.010353645394186062,0.010353645394186062,0.0,0,False,0.0,1.7170306388423011,-0.11246563427503053,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2015-10-01,0.09893367697700435,0.09893367697700435,0.0,0,False,0.0,1.7348081652078275,-0.10327641817716005,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2015-11-01,0.002778348537732356,0.002778348537732356,0.0,0,False,0.0,1.8848854384658686,-0.025701368252240342,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2015-12-01,-0.04077508569653898,-0.04077508569653898,0.0,0,False,0.0,1.8901223071676228,-0.022994427073409596,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2016-01-01,-0.03362679627670229,-0.03362679627670229,0.0,0,False,0.0,1.8380125376680474,-0.049930004211429235,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2016-02-01,0.022547821523692592,0.022547821523692592,0.0,0,False,0.0,1.7762060645098587,-0.08187781440841924,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2016-03-01,0.018898899841460093,0.014898899841460093,1.0,3,True,0.004,1.808990619274361,-0.06493145459383443,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-04-01,-0.0258135932965115,-0.026613593296511497,0.19999999999999998,2,True,0.0007999999999999999,1.8417040089607262,-0.048021880059056166,0.0,0.0,0.0,0.0,0.8,0.0,0.2
2016-05-01,0.025395540202123493,0.025395540202123493,0.0,0,False,0.0,1.8068985648759022,-0.0660128390092285,0.0,0.0,0.0,0.0,0.8,0.0,0.2
2016-06-01,0.06230654668568596,0.06230654668568596,0.0,0,False,0.0,1.8527857300213675,-0.04229373051402019,0.0,0.0,0.0,0.0,0.8,0.0,0.2
2016-07-01,0.011078736385919231,0.011078736385919231,0.0,0,False,0.0,1.9682264106075171,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2
2016-08-01,0.003951910602736187,0.003951910602736187,0.0,0,False,0.0,1.990031872158441,-0.009077104169155858,0.0,0.0,0.0,0.0,0.8,0.0,0.2
2016-09-01,-0.012653383870087919,-0.012653383870087919,0.0,0,False,0.0,1.9978963002138084,-0.005161065470627113,0.0,0.0,0.0,0.0,0.8,0.0,0.2
2016-10-01,-0.03508131966290518,-0.03508131966290518,0.0,0,False,0.0,1.9797405052478765,-0.014201620637333434,0.0,0.0,0.0,0.0,0.8,0.0,0.2
2016-11-01,-0.07547706981619723,-0.07547706981619723,0.0,0,False,0.0,1.9102885957336735,-0.0487847287069294,0.0,0.0,0.0,0.0,0.8,0.0,0.2
