date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_cbu0.uk,w_cmod.uk,w_cndx.uk,w_cspx.uk,w_dtla.uk,w_eimi.uk,w_ibta.uk,w_igln.uk,w_ihya.uk,w_iues.uk,w_lqda.uk,w_xres.uk
2019-07-01,0.017622977572910335,0.014956310906243669,0.6666666666666666,5,True,0.0026666666666666666,1.0440841757931407,-0.008379123116111775,0.0,0.2,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.26666666666666666
2019-08-01,0.05159902592704654,0.049999025927046546,0.39999999999999997,4,True,0.0015999999999999999,1.060784073330882,-0.006149729339379517,0.0,0.6,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.13333333333333333
2019-09-01,-0.00996231216219449,-0.00996231216219449,0.0,0,False,0.0,1.1157369720083237,-0.002793018501714095,0.0,0.6,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.13333333333333333
2019-10-01,-0.004706217557847317,-0.004706217557847317,0.0,0,False,0.0,1.1046216520022751,-0.01860534388707058,0.0,0.6,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.13333333333333333
2019-11-01,-0.009750390943440301,-0.011083724276773635,0.33333333333333326,5,True,0.001333333333333333,1.097957164772592,-0.024526368647981522,0.0,0.4,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0
2019-12-01,0.008624832083963694,0.008624832083963694,0.0,0,False,0.0,1.091168623345668,-0.030557608635997435,0.0,0.4,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0
2020-01-01,0.04018587725708748,0.03778587725708748,0.6,5,True,0.0024,1.0798319912577865,-0.04062957321246452,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2020-02-01,0.027935455057599423,0.025535455057599424,0.6,4,True,0.0024,1.124082852899862,-0.0013151535962933059,0.0,0.6,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.13333333333333333
2020-03-01,0.03643254477657565,0.03483254477657565,0.39999999999999997,4,True,0.0015999999999999999,1.1422124109011824,-0.00979834195702034,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,-0.0004718372161605089,-0.0004718372161605089,0.0,0,False,0.0,1.1819319939205708,-0.0015899187374868173,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,0.0012391573729864103,0.0012391573729864103,0.0,0,False,0.0,1.1813743144188682,-0.006623681125439651,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0,False,0.0,1.182838223110838,-0.005392731535755257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,0.051689492408597285,0.049289492408597285,0.6,4,True,0.0024,1.179999411375372,-0.00777978898006948,0.0,0.4,0.0,0.19999999999999998,0.0,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0
2020-08-01,0.010664920026824438,0.010664920026824438,0.0,0,False,0.0,1.2384656496569562,0.0,0.0,0.4,0.0,0.19999999999999998,0.0,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0
2020-09-01,-0.022064942802752868,-0.022864942802752867,0.2,4,True,0.0008,1.2506724477371036,-0.0041387676865914935,0.0,0.2,0.0,0.26666666666666666,0.0,0.26666666666666666,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0
2020-10-01,-0.02191386778642433,-0.02191386778642433,0.0,0,False,0.0,1.2230764317128056,-0.02611238881706579,0.0,0.2,0.0,0.26666666666666666,0.0,0.26666666666666666,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0
2020-11-01,0.013919966575445305,0.011786633242111972,0.5333333333333333,5,True,0.002133333333333333,1.1924372204204963,-0.05050918653166925,0.0,0.6,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0
2020-12-01,0.032340096029834786,0.029406762696501453,0.7333333333333333,5,True,0.0029333333333333334,1.2029176906229575,-0.04216400071588566,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
2021-01-01,-0.01416154175478279,-0.01416154175478279,0.0,0,False,0.0,1.2051680522199817,-0.04037212637083387,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
2021-02-01,-0.003498495119211638,-0.0053651617858783045,0.4666666666666667,5,True,0.0018666666666666669,1.185883225966488,-0.05572787429068504,0.0,0.0,0.26666666666666666,0.26666666666666666,0.0,0.0,0.0,0.2,0.26666666666666666,0.0,0.0,0.0,0.0
2021-03-01,-0.0025296456087419593,-0.004662978942075293,0.5333333333333333,5,True,0.002133333333333333,1.1792133858606735,-0.06103880538149775,0.0,0.0,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.6,0.0,0.0,0.13333333333333333,0.0,0.0
2021-04-01,0.015426259558805559,0.014892926225472225,0.13333333333333333,2,True,0.0005333333333333333,1.1756030710206158,-0.06391355695387346,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.13333333333333333,0.6,0.0,0.0,0.13333333333333333,0.0,0.0
2021-05-01,0.023966827690883364,0.022633494357550032,0.33333333333333326,5,True,0.001333333333333333,1.1901569661018225,-0.05232486327412167,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.19999999999999998,0.0,0.19999999999999998
2021-06-01,0.016363092517017307,0.015563092517017306,0.2,4,True,0.0008,1.225414225236984,-0.024250895870535305,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.26666666666666666,0.0,0.26666666666666666
2021-07-01,-0.007500608926714071,-0.008300608926714071,0.2,4,True,0.0008,1.244469418942945,-0.009077995307863018,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.19999999999999998,0.0,0.19999999999999998
2021-08-01,0.018772176915874895,0.016372176915874895,0.6000000000000001,6,True,0.0024000000000000002,1.236850753032124,-0.015144439032806378,0.0,0.2,0.26666666666666666,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666
2021-09-01,-0.024243877951049802,-0.024243877951049802,0.0,0,False,0.0,1.2570449682645286,0.0,0.0,0.2,0.26666666666666666,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666
2021-10-01,0.03726350532107081,0.03486350532107081,0.6000000000000001,6,True,0.0024000000000000002,1.223625557098602,-0.032718331537854195,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.19999999999999998,0.0,0.19999999999999998
2021-11-01,-0.02572379674086749,-0.026523796740867488,0.2,4,True,0.0008,1.268206756848899,-0.008776424778085268,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.26666666666666666,0.0,0.26666666666666666
2021-12-01,0.016891884525610242,0.01475855119227691,0.5333333333333333,5,True,0.002133333333333333,1.232947752193768,-0.03633467304027249,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.6,0.0,0.0,0.13333333333333333,0.0,0.13333333333333333
2022-01-01,-0.00910796485145349,-0.01150796485145349,0.6,5,True,0.0024,1.2366684845964167,-0.03342656862064197,0.0,0.4,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.19999999999999998
2022-02-01,-0.0017773620205799867,-0.005777362020579987,1.0,5,True,0.004,1.2296188824791552,-0.03893649969207569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,-0.018836097835254306,-0.018836097835254306,0.0,0,False,0.0,1.2274334045776487,-0.04064465745688872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,-0.000478830374845648,-0.001278830374845648,0.19999999999999996,4,True,0.0007999999999999998,1.2033498982036586,-0.05946819641296641,0.0,0.0,0.06666666666666665,0.0,0.0,0.0,0.0,0.8,0.06666666666666665,0.0,0.06666666666666665,0.0,0.0
2022-05-01,0.0038099978939711843,0.0030099978939711843,0.19999999999999996,4,True,0.0007999999999999998,1.203351533480053,-0.05946691828973816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,-0.001335113484646322,-0.001335113484646322,0.0,0,False,0.0,1.2069699512480883,-0.056638782437828494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,0.0013368983957220415,0.0013368983957220415,0.0,0,False,0.0,1.205358509390614,-0.05789827672028813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
