date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_agg.us,w_ief.us,w_lqd.us,w_shy.us,w_spy.us,w_vea.us,w_vwo.us
2012-04-01,-0.013437273806154365,-0.013437273806154365,0.0,0,False,0.0,1.274922565845467,-0.00642381848539797,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2012-05-01,0.0008282244885219059,-0.0011717755114780942,0.5,3,True,0.002,1.2552755000820632,-0.02173522413631579,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
2012-06-01,0.013461965803589687,0.013461965803589687,0.0,0,False,0.0,1.2563151499910725,-0.020925001292687262,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
2012-07-01,0.004476334497897694,0.0024763344978976937,0.5,3,True,0.002,1.268828160436375,-0.011173327371023611,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2012-08-01,0.005570607484643275,0.003570607484643275,0.5,3,True,0.002,1.2694149262954681,-0.010716047378230953,0.0,0.25,0.0,0.5,0.0,0.25,0.0,0.0
2012-09-01,0.02552190485688649,0.02452190485688649,0.25,2,True,0.001,1.2784059064850137,-0.003709171820358903,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.0
2012-10-01,0.0002230277643122669,-0.0017769722356877331,0.5,3,True,0.002,1.30710278268413,-0.005501902268307601,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2012-11-01,0.0018220241202245024,0.0018220241202245024,0.0,0,False,0.0,1.3073943028954784,-0.012239636361681239,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2012-12-01,0.04158499895721385,0.04158499895721385,0.0,0,False,0.0,1.3116457419565082,-0.009027596211583777,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2013-01-01,0.01116849686283028,0.01116849686283028,0.0,0,False,0.0,1.3209036048584093,-0.017850236482293447,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2013-02-01,-0.0034030839170876015,-0.0054030839170876015,0.5,3,True,0.002,1.3329848004001208,-0.00886733772975723,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.0
2013-03-01,0.006174195962023676,0.004174195962023676,0.5,2,True,0.002,1.3257916441816286,-0.01421576486172449,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.0
2013-04-01,0.02600207931778825,0.02400207931778825,0.5,2,True,0.002,1.331309386914424,-0.010113081138071967,0.0,0.0,0.5,0.0,0.0,0.25,0.25,0.0
2013-05-01,-0.005683799403224388,-0.007683799403224388,0.5,3,True,0.002,1.3631943467911103,-0.004535801843406739,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2013-06-01,-0.0008252014218462778,-0.004825201421846278,1.0,5,True,0.004,1.345943381572885,-0.03596976899471105,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013-07-01,0.000762058912131991,0.000762058912131991,0.0,0,False,0.0,1.3394533763519632,-0.04061822695959161,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013-08-01,-0.0009272947355933869,-0.0009272947355933869,0.0,0,False,0.0,1.3404741187347975,-0.03988712152930918,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013-09-01,0.0023031531750066225,0.0023031531750066225,0.0,0,False,0.0,1.3405920939850748,-0.03980262190671369,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013-10-01,0.02280658902740229,0.01880658902740229,1.0,5,True,0.004,1.3383049641910345,-0.041440775705658184,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2013-11-01,-0.0006511472254225603,-0.0006511472254225603,0.0,0,False,0.0,1.3688271355026715,-0.019579309418751745,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2013-12-01,-0.0007098658633392096,-0.00470986586333921,1.0,5,True,0.004,1.3796065672753877,-0.011858555155066841,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-01-01,0.023462607224839838,0.019462607224839838,1.0,2,True,0.004,1.3627002467948193,-0.023967685644111336,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-02-01,0.020012520625437957,0.018012520625437956,0.5,3,True,0.002,1.3801393435971074,-0.01147695479391242,0.0,0.25,0.0,0.5,0.0,0.25,0.0,0.0
2014-03-01,0.029102683949171648,0.027102683949171646,0.5,3,True,0.002,1.404659194947073,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2014-04-01,0.0058550545191605186,0.0058550545191605186,0.0,0,False,0.0,1.4426474704588077,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2014-05-01,0.020706690566449193,0.020706690566449193,0.0,0,False,0.0,1.4510942500502733,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
