date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ivv.us,w_qqq.us,w_vt.us
2011-11-01,0.012164232381344588,0.012164232381344588,0.0,0,False,0.0,1.0148353175149485,-0.06649306931066545,0.0,0.0,0.8,0.0,0.2,0.0
2011-12-01,0.00956188845343533,0.0063618884534353305,0.8,3,True,0.0032,1.023893034113529,-0.058161233519120614,0.0,0.0,0.0,0.2,0.8,0.0
2012-01-01,0.06555031989425762,0.06555031989425762,0.0,0,False,0.0,1.0120878972726455,-0.06902031269039555,0.0,0.0,0.0,0.2,0.8,0.0
2012-02-01,-0.0008596188286827729,-0.004059618828682773,0.8,3,True,0.0032,1.0749796048353342,-0.011168714623803977,0.0,0.0,0.8,0.0,0.2,0.0
2012-03-01,0.04933632238187218,0.04613632238187218,0.8,3,True,0.0032,1.0706185544237632,-0.03388537821834592,0.0,0.0,0.0,0.2,0.8,0.0
2012-04-01,-0.017996682528131913,-0.018796682528131912,0.2,2,True,0.0008,1.1125849450098977,-0.008211232434344962,0.0,0.0,0.2,0.0,0.8,0.0
2012-05-01,-0.0948835283976732,-0.09568352839767319,0.2,2,True,0.0008,1.0908147068375738,-0.027617820473650023,0.0,0.0,0.0,0.2,0.8,0.0
2012-06-01,0.06796053599218954,0.06796053599218954,0.0,0,False,0.0,0.9873143586247513,-0.11988087261812985,0.0,0.0,0.0,0.2,0.8,0.0
2012-07-01,0.004816093480919515,0.004816093480919515,0.0,0,False,0.0,1.051491649067791,-0.06267147383946914,0.0,0.0,0.0,0.2,0.8,0.0
2012-08-01,0.04767535766080058,0.04767535766080058,0.0,0,False,0.0,1.056555731144108,-0.05815721203514723,0.0,0.0,0.0,0.2,0.8,0.0
2012-09-01,0.013012614380976874,0.013012614380976874,0.0,0,False,0.0,1.1086970162627559,-0.0116770388680969,0.0,0.0,0.0,0.2,0.8,0.0
2012-10-01,-0.032379360438549325,-0.032379360438549325,0.0,0,False,0.0,1.1231240630007233,-0.021911943718791793,0.0,0.0,0.0,0.2,0.8,0.0
2012-11-01,-0.0043808938777790025,-0.0043808938777790025,0.0,0,False,0.0,1.0867580241476151,-0.05358180943376101,0.0,0.0,0.0,0.2,0.8,0.0
2012-12-01,0.031007674392317643,0.031007674392317643,0.0,0,False,0.0,1.0846999251757632,-0.05537413326451812,0.0,0.0,0.0,0.2,0.8,0.0
2013-01-01,0.012830664972454732,0.012830664972454732,0.0,0,False,0.0,1.0714888199291013,-0.06687920619253507,0.0,0.0,0.0,0.2,0.8,0.0
2013-02-01,-0.002178321957123153,-0.002178321957123153,0.0,0,False,0.0,1.0852367339993425,-0.054906645908360474,0.0,0.0,0.0,0.2,0.8,0.0
2013-03-01,0.028589612270233468,0.02618961227023347,0.6000000000000001,2,True,0.0024000000000000002,1.080273844419412,-0.05922864664067795,0.0,0.0,0.0,0.8,0.2,0.0
2013-04-01,0.01714186247063534,0.01714186247063534,0.0,0,False,0.0,1.111158454777038,-0.03233235841319182,0.0,0.0,0.0,0.8,0.2,0.0
2013-05-01,0.03884748570864249,0.03884748570864249,0.0,0,False,0.0,1.1302057801919096,-0.015744732783826598,0.0,0.0,0.0,0.8,0.2,0.0
2013-06-01,-0.014281247743809811,-0.014281247743809811,0.0,0,False,0.0,1.1687666821975848,-0.020570757806652518,0.0,0.0,0.0,0.8,0.2,0.0
2013-07-01,0.05958825470917306,0.05958825470917306,0.0,0,False,0.0,1.1520752356544104,-0.03455822946194764,0.0,0.0,0.0,0.8,0.2,0.0
2013-08-01,-0.031225776983198995,-0.031225776983198995,0.0,0,False,0.0,1.2207253882407156,0.0,0.0,0.0,0.0,0.8,0.2,0.0
2013-09-01,0.03910305717494063,0.03910305717494063,0.0,0,False,0.0,1.181242867344757,-0.034543414892004076,0.0,0.0,0.0,0.8,0.2,0.0
2013-10-01,0.0404695353554696,0.0404695353554696,0.0,0,False,0.0,1.2274330747240298,-0.011702159889724006,0.0,0.0,0.0,0.8,0.2,0.0
