date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_cbu0.uk,w_cmod.uk,w_cndx.uk,w_cspx.uk,w_dtla.uk,w_eimi.uk,w_ibta.uk,w_igln.uk,w_ihya.uk,w_iues.uk,w_iuit.uk,w_lqda.uk,w_vwra.uk,w_xres.uk
2020-02-01,-0.01602082723635873,-0.01722082723635873,0.3,4,True,0.0012,1.1194859084324436,-0.008459932901518252,0.0,0.3,0.0,0.0,0.1,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.4,0.0,0.0,0.06666666666666667
2020-03-01,-0.034862668117243326,-0.036062668117243325,0.3,6,True,0.0012,1.0750303192918933,-0.07184623105008126,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.0
2020-04-01,-0.00023591860808025444,-0.0022359186080802545,0.5,3,True,0.002,1.0342342181180173,-0.10706854467555771,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,0.0006195786864932051,0.0006195786864932051,0.0,0,False,0.0,1.0339902230208502,-0.10727920382160872,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.030759313741098682,0.028759313741098684,0.5,3,True,0.002,1.0325615996024258,-0.10851264085722101,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.0
2020-07-01,0.06743328990771108,0.06623328990771107,0.3,4,True,0.0012,1.0630452988186454,-0.08219379215934763,0.0,0.2,0.0,0.09999999999999999,0.0,0.09999999999999999,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0
2020-08-01,0.048076172235304394,0.048076172235304394,0.0,0,False,0.0,1.1183813117162735,-0.034418089457841305,0.0,0.2,0.0,0.09999999999999999,0.0,0.09999999999999999,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0
2020-09-01,-0.035052434393320994,-0.03545243439332099,0.1,4,True,0.0004,1.1716799447613775,0.0,0.0,0.1,0.0,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0.23333333333333334,0.0,0.0,0.4,0.0,0.0,0.0
2020-10-01,-0.03560980025626129,-0.03560980025626129,0.0,0,False,0.0,1.1306097103676593,-0.03759198163340638,0.0,0.1,0.0,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0.23333333333333334,0.0,0.0,0.4,0.0,0.0,0.0
2020-11-01,0.069128132918991,0.06766146625232433,0.3666666666666667,7,True,0.0014666666666666665,1.0868633476065084,-0.07483016374844809,0.0,0.3,0.06666666666666667,0.06666666666666667,0.1,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.4,0.0,0.0,0.0
2020-12-01,0.02748247765358478,0.026015810986918114,0.36666666666666664,5,True,0.0014666666666666667,1.1585901590149388,-0.013774206243099774,0.0,0.0,0.0,0.16666666666666666,0.1,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.4,0.0,0.0,0.0
2021-01-01,0.004912919447120125,0.004912919447120125,0.0,0,False,0.0,1.172889428374964,-0.019752509563480514,0.0,0.0,0.0,0.16666666666666666,0.1,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.4,0.0,0.0,0.0
2021-02-01,0.009188424277055171,0.008255090943721838,0.23333333333333334,5,True,0.0009333333333333334,1.1775516646999358,-0.015870217253922903,0.0,0.0,0.13333333333333333,0.13333333333333333,0.1,0.0,0.0,0.1,0.13333333333333333,0.0,0.0,0.4,0.0,0.0,0.0
2021-03-01,0.005007869475963645,0.003941202809296979,0.26666666666666666,5,True,0.0010666666666666665,1.1871039127270815,-0.028983633198852554,0.0,0.0,0.06666666666666667,0.06666666666666667,0.1,0.0,0.0,0.3,0.0,0.0,0.06666666666666667,0.4,0.0,0.0,0.0
2021-04-01,0.01334324208526759,0.013076575418600923,0.06666666666666667,2,True,0.0002666666666666666,1.1927306278366445,-0.024381144398894383,0.0,0.0,0.06666666666666667,0.0,0.1,0.0,0.06666666666666667,0.3,0.0,0.0,0.06666666666666667,0.4,0.0,0.0,0.0
2021-05-01,0.020310813477451162,0.019644146810784496,0.16666666666666663,5,True,0.0006666666666666665,1.223754073764633,-0.007177667284690048,0.0,0.0,0.09999999999999999,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.09999999999999999,0.4,0.0,0.0,0.09999999999999999
2021-06-01,0.03758207210108286,0.03718207210108286,0.1,4,True,0.0004,1.2351063408488034,0.0,0.0,0.0,0.13333333333333333,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.13333333333333333,0.4,0.0,0.0,0.13333333333333333
2021-07-01,0.017788152941977498,0.017388152941977496,0.1,4,True,0.0004,1.2810115867245266,0.0,0.0,0.0,0.09999999999999999,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.09999999999999999,0.4,0.0,0.0,0.09999999999999999
2021-08-01,0.026695899080306673,0.025495899080306673,0.30000000000000004,6,True,0.0012000000000000001,1.2995650098199043,-0.005046880098693363,0.0,0.1,0.13333333333333333,0.13333333333333333,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.13333333333333333
2021-09-01,-0.04093396634509347,-0.04093396634509347,0.0,0,False,0.0,1.3326569564909498,0.0,0.0,0.1,0.13333333333333333,0.13333333333333333,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.13333333333333333
2021-10-01,0.05431866246852111,0.05311866246852111,0.30000000000000004,6,True,0.0012000000000000001,1.276572294258614,-0.0459525527777257,0.0,0.0,0.09999999999999999,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.09999999999999999,0.4,0.0,0.0,0.09999999999999999
2021-11-01,0.013868480701685048,0.013468480701685048,0.1,4,True,0.0004,1.3453756282295823,-0.0019145816069038313,0.0,0.0,0.13333333333333333,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.13333333333333333,0.4,0.0,0.0,0.13333333333333333
2021-12-01,0.014847296075574239,0.013780629408907572,0.26666666666666666,5,True,0.0010666666666666665,1.3625789746257577,-0.014986538953663864,0.0,0.0,0.0,0.06666666666666667,0.1,0.0,0.0,0.3,0.0,0.0,0.06666666666666667,0.4,0.0,0.0,0.06666666666666667
2022-01-01,-0.03627230863556582,-0.03747230863556582,0.3,5,True,0.0012,1.3421593884281813,-0.03406223563267463,0.0,0.2,0.0,0.09999999999999999,0.1,0.0,0.0,0.0,0.0,0.0,0.09999999999999999,0.4,0.0,0.0,0.09999999999999999
2022-02-01,-0.02973834871921033,-0.03173834871921033,0.5,5,True,0.002,1.292134973433719,-0.07006427235062573,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0
2022-03-01,0.012832919462470064,0.011232919462470063,0.4,3,True,0.0016,1.2517030785806573,-0.09916267486542585,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0
2022-04-01,0.005206758261949215,0.0048067582619492144,0.09999999999999998,4,True,0.0003999999999999999,1.2672589769456568,-0.08796726110237785,0.0,0.0,0.43333333333333335,0.0,0.0,0.0,0.0,0.4,0.033333333333333326,0.0,0.033333333333333326,0.1,0.0,0.0,0.0
2022-05-01,0.009235709235808976,0.008835709235808977,0.09999999999999998,4,True,0.0003999999999999999,1.2774369747252121,-0.08064226490171589,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0
