date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_gld.us,w_hyg.us,w_ief.us,w_ivv.us,w_lqd.us,w_shy.us,w_tlt.us,w_xlk.us
2016-03-01,0.03521562251631357,0.0345489558496469,0.16666666666666669,4,True,0.0006666666666666668,1.6290494293387998,-0.015932763947868023,0.0,0.0,0.05555555555555556,0.0,0.3333333333333333,0.1,0.05555555555555556,0.0,0.05555555555555556,0.4
2016-04-01,-0.013280940217266047,-0.013947606883932713,0.16666666666666669,4,True,0.0006666666666666668,1.6852931408234086,0.0,0.0,0.0,0.11111111111111112,0.0,0.16666666666666666,0.1,0.11111111111111112,0.0,0.11111111111111112,0.4
2016-05-01,0.01189098071280993,0.01189098071280993,0.0,0,False,0.0,1.6591717773336707,-0.018894870430428257,0.0,0.0,0.11111111111111112,0.0,0.16666666666666666,0.1,0.11111111111111112,0.0,0.11111111111111112,0.4
2016-06-01,0.01987986417233616,0.01876875306122505,0.27777777777777773,5,True,0.001111111111111111,1.6770355114294757,-0.008331647626080518,0.0,0.0,0.0,0.16666666666666666,0.0,0.1,0.16666666666666666,0.0,0.16666666666666666,0.4
2016-07-01,0.03326022066577362,0.03259355399910695,0.16666666666666666,2,True,0.0006666666666666666,1.7092344997758053,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.1,0.16666666666666666,0.0,0.16666666666666666,0.4
2016-08-01,0.0022170306042990856,0.001550363937632419,0.16666666666666663,4,True,0.0006666666666666665,1.7649066270636293,-0.00229567095236749,0.0,0.0,0.11111111111111112,0.0,0.16666666666666666,0.1,0.11111111111111112,0.0,0.11111111111111112,0.4
2016-09-01,0.0036851271134232554,0.0025740160023121446,0.27777777777777773,5,True,0.001111111111111111,1.7668541240928162,-0.005444634560487049,0.0,0.0,0.0,0.16666666666666666,0.0,0.1,0.16666666666666666,0.0,0.16666666666666666,0.4
2016-10-01,-0.018037533080888915,-0.018037533080888915,0.0,0,False,0.0,1.7779201912283578,-0.0016783539460488717,0.0,0.0,0.0,0.16666666666666666,0.0,0.1,0.16666666666666666,0.0,0.16666666666666666,0.4
2016-11-01,-0.00044008247353669126,-0.0011067491402033578,0.16666666666666666,2,True,0.0006666666666666666,1.7446869963659193,-0.020339156586340112,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.1,0.16666666666666666,0.0,0.0,0.4
2016-12-01,0.025466935579259765,0.023466935579259766,0.5,4,True,0.002,1.7404313518166172,-0.022728747577229647,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.4
