date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_gld.us,w_hyg.us,w_ief.us,w_lqd.us,w_qqq.us,w_shy.us,w_spy.us,w_tlt.us,w_vnq.us,w_vwo.us,w_xle.us
2008-06-01,0.011612441770733208,0.008412441770733208,0.8,5,True,0.0032,1.0762630765296686,-0.054726111297637714,0.0,0.06666666666666665,0.06666666666666665,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.06666666666666665
2008-07-01,0.007924513230582297,0.003924513230582297,1.0,5,True,0.004,1.0809359749225624,-0.05062193924928993,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,0.017915711425900982,0.017915711425900982,0.0,0,False,0.0,1.0895018663572484,-0.043098580246046514,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,-0.0023733020591126808,-0.0023733020591126808,0.0,0,False,0.0,1.1065887618299177,-0.02809128650762238,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,0.007125965490804909,0.0031259654908049085,1.0,2,True,0.004,1.0995466424731042,-0.03427632778078904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,0.00867571766883568,0.00867571766883568,0.0,0,False,0.0,1.1096117687725673,-0.02543620189999407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,0.019853684775775093,0.015853684775775093,1.0,2,True,0.004,1.114761493411654,-0.020913236891260234,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,-0.018839730436378765,-0.018839730436378765,0.0,0,False,0.0,1.1388137643452847,-0.025346998313898417,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,-0.00719855396456015,-0.00719855396456015,0.0,0,False,0.0,1.1114611910833014,-0.04875667992145938,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,0.02344021204239377,0.02344021204239377,0.0,0,False,0.0,1.095308554198057,-0.06258090344092138,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,-0.035095396381793376,-0.035095396381793376,0.0,0,False,0.0,1.1209828189603068,-0.04060760104498762,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,-0.035559829505593,-0.035559829505593,0.0,0,False,0.0,1.0816414825917147,-0.07427785757199357,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,-0.006276154432656611,-0.010276154432656611,1.0,5,True,0.004,1.0390057819010383,-0.11076759360978039,0.0,0.0,0.13333333333333333,0.0,0.0,0.13333333333333333,0.0,0.6,0.0,0.0,0.0,0.13333333333333333,0.0
2009-07-01,-0.0012721427114010808,-0.0028721427114010807,0.4,4,True,0.0016,1.0308328454435527,-0.11776239583317794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2009-08-01,0.004703638496732092,0.0039036384967320917,0.19999999999999996,4,True,0.0007999999999999998,1.0321763791599905,-0.11661253339685118,0.0,0.0,0.06666666666666665,0.0,0.0,0.06666666666666665,0.06666666666666665,0.8,0.0,0.0,0.0,0.0,0.0
2009-09-01,0.024797167806398776,0.02293050113973211,0.4666666666666667,5,True,0.0018666666666666669,1.0342674953760282,-0.11482285297618344,0.0,0.0,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0,0.4,0.0,0.0,0.19999999999999998,0.0,0.0
