date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_gld.us,w_ief.us,w_qqq.us,w_shy.us,w_vnq.us,w_vt.us,w_vwo.us,w_xle.us
2011-06-01,-0.002085713981098098,-0.002085713981098098,0.0,0,False,0.0,1.2362098666407446,-0.02407579887589828,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
2011-07-01,0.02508987885386856,0.02508987885386856,0.0,0,False,0.0,1.2336314864383204,-0.026111297626674856,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
2011-08-01,-0.011802131898358104,-0.011802131898358104,0.0,0,False,0.0,1.2645831509833756,-0.02647378991133864,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
2011-09-01,-0.038250964806369525,-0.04158429813970286,0.8333333333333333,6,True,0.0033333333333333327,1.2454928459262316,-0.04117026306714944,0.0,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
2011-10-01,-0.010177837102964937,-0.012177837102964937,0.49999999999999994,4,True,0.0019999999999999996,1.1945835489884953,-0.08036225678265341,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-01,0.0005229704639936137,-0.0004770295360063861,0.24999999999999997,4,True,0.0009999999999999998,1.1788803612548897,-0.09245119283143743,0.0,0.0,0.08333333333333333,0.75,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333
2011-12-01,0.013805699674092287,0.012805699674092287,0.24999999999999997,4,True,0.0009999999999999998,1.1783173839835437,-0.092884595039045,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01,0.011608935389687325,0.011608935389687325,0.0,0,False,0.0,1.1868038548037176,-0.08635137358328915,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,-0.010921407494721258,-0.010921407494721258,0.0,0,False,0.0,1.200581384074365,-0.07574488571034155,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,0.028021218226985,0.024021218226985,0.9999999999999999,4,True,0.003999999999999999,1.1827194681661193,-0.08949569623280873,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0
