date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_rsp.us,w_xle.us,w_xlf.us,w_xli.us,w_xlp.us,w_xlv.us
2010-03-01,0.06818734769400459,0.06418734769400458,1.0,3,True,0.004,1.013124578462893,-0.043891147032296574,0.0,0.5,0.0,0.0,0.5,0.0,0.0
2010-04-01,0.044896596291531754,0.044896596291531754,0.0,0,False,0.0,1.0822068563518843,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
2010-05-01,-0.11906123329041651,-0.11906123329041651,0.0,0,False,0.0,1.1114799198730982,-0.02347781566566498,0.0,0.5,0.0,0.0,0.5,0.0,0.0
2010-06-01,-0.05006845297588536,-0.05006845297588536,0.0,0,False,0.0,0.9791457498354736,-0.13974375126796246,0.0,0.5,0.0,0.0,0.5,0.0,0.0
2010-07-01,0.11482629564436186,0.11482629564436186,0.0,0,False,0.0,0.9301214369032984,-0.18281545080481387,0.0,0.5,0.0,0.0,0.5,0.0,0.0
2010-08-01,-0.0452769158656971,-0.0452769158656971,0.0,0,False,0.0,1.0154425368242297,-0.10785418036269145,0.0,0.5,0.0,0.0,0.5,0.0,0.0
2010-09-01,0.0672577608492011,0.0672577608492011,0.0,0,False,0.0,0.9694664305179892,-0.1482477915783431,0.0,0.5,0.0,0.0,0.5,0.0,0.0
2010-10-01,0.029411545629529856,0.029411545629529856,0.0,0,False,0.0,1.034670571853097,-0.09096084524154013,0.0,0.5,0.0,0.0,0.5,0.0,0.0
2010-11-01,0.036000248379754574,0.036000248379754574,0.0,0,False,0.0,1.0651018325886865,-0.06422459866233221,0.0,0.5,0.0,0.0,0.5,0.0,0.0
2010-12-01,0.05309068844617815,0.05309068844617815,0.0,0,False,0.0,1.1034457631116108,-0.030536451786511765,0.0,0.5,0.0,0.0,0.5,0.0,0.0
2011-01-01,0.06373157378133554,0.061731573781335536,0.5,2,True,0.002,1.128348681234184,-0.02160451062257629,0.0,0.0,0.5,0.0,0.5,0.0,0.0
2011-02-01,0.011381202217688513,0.011381202217688513,0.0,0,False,0.0,1.1978595982264066,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
2011-03-01,0.047088574197720834,0.047088574197720834,0.0,0,False,0.0,1.2114926805422204,-0.02384449267183708,0.0,0.0,0.5,0.0,0.5,0.0,0.0
2011-04-01,0.005081133934765059,0.005081133934765059,0.0,0,False,0.0,1.2685401435199282,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
2011-05-01,-0.055075480394442655,-0.055075480394442655,0.0,0,False,0.0,1.284418836794031,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
2011-06-01,0.030446885740210372,0.030446885740210372,0.0,0,False,0.0,1.2136788523299284,-0.055075480394442766,0.0,0.0,0.5,0.0,0.5,0.0,0.0
2011-07-01,-0.04368174194211355,-0.04368174194211355,0.0,0,False,0.0,1.2506315936721273,-0.0263054715128892,0.0,0.0,0.5,0.0,0.5,0.0,0.0
2011-08-01,-0.08858926512452187,-0.09058926512452187,0.5,2,True,0.002,1.1936098234784218,-0.0707004683474377,0.0,0.5,0.5,0.0,0.0,0.0,0.0
2011-09-01,-0.056356735299289806,-0.06035673529928981,1.0,4,True,0.004,1.0835173311455737,-0.1564143252133524,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2011-10-01,0.021752917009416173,0.01975291700941617,0.5,2,True,0.002,1.0466041754093531,-0.1851535142370493,0.5,0.0,0.0,0.0,0.0,0.5,0.0
2011-11-01,0.03745280218070557,0.03545280218070557,0.5,2,True,0.002,1.0650976631855031,-0.17075518306471094,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2011-12-01,0.034883184018018376,0.034883184018018376,0.0,0,False,0.0,1.1049885552679217,-0.13969764097665804,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2012-01-01,0.011335624327230676,0.011335624327230676,0.0,0,False,0.0,1.13536108725154,-0.11605073459880577,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2012-02-01,0.017287503809009896,0.017287503809009896,0.0,0,False,0.0,1.1482311140123793,-0.1060306178018866,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2012-03-01,0.04178143103136711,0.04178143103136711,0.0,0,False,0.0,1.1680811637694917,-0.09057611870199878,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2012-04-01,-0.002299355979655693,-0.002299355979655693,0.0,0,False,0.0,1.2101305227636001,-0.05783807579142797,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2012-05-01,-0.044670347849870895,-0.044670347849870895,0.0,0,False,0.0,1.2073480019099199,-0.06000444144566075,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2012-06-01,0.07078085301772274,0.07078085301772274,0.0,0,False,0.0,1.1534153466887573,-0.10199437002361667,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2012-07-01,-0.0020061597674299048,-0.006006159767429905,1.0,4,True,0.004,1.2295414365375068,-0.04272547138400795,0.0,0.0,0.0,0.5,0.5,0.0,0.0
2012-08-01,0.009642714280231224,0.005642714280231224,1.0,4,True,0.004,1.217277814931815,-0.05227346402813826,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2012-09-01,0.039503101728379786,0.037503101728379784,0.5,2,True,0.002,1.2241279071019167,-0.04694024095956373,0.0,0.0,0.0,0.5,0.0,0.0,0.5
2012-10-01,0.01415309477204918,0.01415309477204918,0.0,0,False,0.0,1.2699397868320226,-0.0112728414962745,0.0,0.0,0.0,0.5,0.0,0.0,0.5
2012-11-01,-0.015103712221147925,-0.015103712221147925,0.0,0,False,0.0,1.2879133649898513,-0.018701661359490807,0.0,0.0,0.0,0.5,0.0,0.0,0.5
2012-12-01,0.013543454511423803,0.011543454511423802,0.5,2,True,0.002,1.2724701815343318,-0.03046826824483928,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2013-01-01,0.050892612481975186,0.050892612481975186,0.0,0,False,0.0,1.2350457077260726,-0.05898305423188388,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2013-02-01,0.007013404348416463,0.005013404348416463,0.5,2,True,0.002,1.2953046095062488,-0.01307005898499114,0.0,0.0,0.0,0.5,0.0,0.0,0.5
2013-03-01,0.043741793902603465,0.043741793902603465,0.0,0,False,0.0,1.3043891044870835,-0.006988104441262855,0.0,0.0,0.0,0.5,0.0,0.0,0.5
2013-04-01,0.018446461507835465,0.018446461507835465,0.0,0,False,0.0,1.361445423864359,-0.0017650112419140829,0.0,0.0,0.0,0.5,0.0,0.0,0.5
2013-05-01,0.053571727078235765,0.053571727078235765,0.0,0,False,0.0,1.3865592744706923,-0.013418714925511166,0.0,0.0,0.0,0.5,0.0,0.0,0.5
