date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ivv.us,w_vt.us,w_xlk.us
2011-08-01,0.08964710733494854,0.08964710733494854,0.0,0,False,0.0,1.2540365535735132,-0.018746765948247424,0.0,0.0,0.8,0.0,0.0,0.2
2011-09-01,-0.08465096013357894,-0.08465096013357894,0.0,0,False,0.0,1.3664573030936666,-0.019823094276806397,0.0,0.0,0.8,0.0,0.0,0.2
2011-10-01,0.05199172120909648,0.05199172120909648,0.0,0,False,0.0,1.238388925229867,-0.11168814271361305,0.0,0.0,0.8,0.0,0.0,0.2
2011-11-01,0.014680625620833611,0.014680625620833611,0.0,0,False,0.0,1.3027748969788508,-0.06550328028284458,0.0,0.0,0.8,0.0,0.0,0.2
2011-12-01,0.010481770254649803,0.007281770254649803,0.8,3,True,0.0032,1.3176703660775868,-0.05481857408863011,0.0,0.0,0.0,0.2,0.0,0.8
2012-01-01,0.05387503207685129,0.05387503207685129,0.0,0,False,0.0,1.30140081498622,-0.06648892647368976,0.0,0.0,0.0,0.2,0.0,0.8
2012-02-01,-0.0003138126135215028,-0.003513812613521503,0.8,3,True,0.0032,1.3671249813963997,-0.019344160283545353,0.0,0.0,0.8,0.0,0.0,0.2
2012-03-01,0.04693534589789859,0.04373534589789859,0.8,3,True,0.0032,1.362322533259912,-0.03426165559556171,0.0,0.0,0.0,0.2,0.0,0.8
2012-04-01,-0.016569762022990722,-0.01736976202299072,0.2,2,True,0.0008,1.4119207314919024,-0.008353293618801882,0.0,0.0,0.2,0.0,0.0,0.8
2012-05-01,-0.09018851750487081,-0.0909885175048708,0.2,2,True,0.0008,1.3863047887665398,-0.02634436398690554,0.0,0.0,0.0,0.2,0.0,0.8
2012-06-01,0.06677550103668146,0.06677550103668146,0.0,0,False,0.0,1.2612760150577824,-0.11415692235918873,0.0,0.0,0.0,0.2,0.0,0.8
2012-07-01,0.009064789974277732,0.009064789974277732,0.0,0,False,0.0,1.3387846902093488,-0.0597195727858838,0.0,0.0,0.0,0.2,0.0,0.8
2012-08-01,0.0408761269703756,0.0408761269703756,0.0,0,False,0.0,1.3509204922468745,-0.05119612819626407,0.0,0.0,0.0,0.2,0.0,0.8
2012-09-01,0.01685366648195843,0.01685366648195843,0.0,0,False,0.0,1.4073203688582518,-0.011584306771359243,0.0,0.0,0.0,0.2,0.0,0.8
2012-10-01,-0.03899525769331078,-0.03899525769331078,0.0,0,False,0.0,1.4310388769882556,-0.021664214599083964,0.0,0.0,0.0,0.2,0.0,0.8
2012-11-01,-0.008710657532768097,-0.008710657532768097,0.0,0,False,0.0,1.3752351472109525,-0.05981467066138024,0.0,0.0,0.0,0.2,0.0,0.8
2012-12-01,0.03228634013391045,0.03228634013391045,0.0,0,False,0.0,1.3659177652535943,-0.06618453827414339,0.0,0.0,0.0,0.2,0.0,0.8
2013-01-01,0.005176351699252369,0.005176351699252369,0.0,0,False,0.0,1.3546211818026004,-0.07390749536538233,0.0,0.0,0.0,0.2,0.0,0.8
2013-02-01,-0.00015682550699294153,-0.00015682550699294153,0.0,0,False,0.0,1.361633177458867,-0.06911371485535245,0.0,0.0,0.0,0.2,0.0,0.8
2013-03-01,0.019982131902261058,0.019982131902261058,0.0,0,False,0.0,1.3614196386454738,-0.06925970156897288,0.0,0.0,0.0,0.2,0.0,0.8
2013-04-01,0.015139892035272773,0.015139892035272773,0.0,0,False,0.0,1.3886237054392156,-0.05066152615897468,0.0,0.0,0.0,0.2,0.0,0.8
2013-05-01,0.04136835262237298,0.04136835262237298,0.0,0,False,0.0,1.4096473184171858,-0.03628864416009092,0.0,0.0,0.0,0.2,0.0,0.8
2013-06-01,-0.025534050051039838,-0.025534050051039838,0.0,0,False,0.0,1.4606282830211155,-0.0174690903794118,0.0,0.0,0.0,0.2,0.0,0.8
2013-07-01,0.04580845665711486,0.04580845665711486,0.0,0,False,0.0,1.4233325273364899,-0.042557083802357676,0.0,0.0,0.0,0.2,0.0,0.8
2013-08-01,-0.02326599983497877,-0.02326599983497877,0.0,0,False,0.0,1.488533193723646,0.0,0.0,0.0,0.0,0.2,0.0,0.8
2013-09-01,0.03360259376317818,0.03360259376317818,0.0,0,False,0.0,1.452638571155738,-0.031045657815906846,0.0,0.0,0.0,0.2,0.0,0.8
2013-10-01,0.041407311126376634,0.041407311126376634,0.0,0,False,0.0,1.5014509949470078,-0.011270848755422391,0.0,0.0,0.0,0.2,0.0,0.8
