date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_gld.us,w_hyg.us,w_iau.us,w_ief.us,w_ivv.us,w_lqd.us,w_qqq.us,w_spy.us,w_tlt.us,w_vnq.us,w_vt.us,w_vwo.us,w_xle.us,w_xlk.us
2018-02-01,-0.039345082082827616,-0.039345082082827616,0.0,0,False,0.0,2.1688879393877594,-0.0134316516804589,6.106226635438361e-17,0.09166666666666667,0.09166666666666667,0.0,0.0,0.0,0.09000000000000001,0.0,0.09166666666666667,0.09166666666666667,0.0,0.0,0.0,0.09166666666666667,0.09166666666666667,0.36000000000000004
2018-03-01,-0.02532148830136864,-0.02568815496803531,0.09166666666666667,2,True,0.00036666666666666667,2.0827888960001197,-0.052595773295157966,6.106226635438361e-17,0.09166666666666667,0.09166666666666667,0.0,0.0,0.09166666666666667,0.09000000000000001,0.0,0.09166666666666667,0.09166666666666667,0.0,0.0,0.0,0.09166666666666667,0.0,0.36000000000000004
2018-04-01,0.017305834240596837,0.01693916757393017,0.09166666666666667,2,True,0.00036666666666666667,2.0642909486986403,-0.06100998824149306,6.106226635438361e-17,0.09166666666666667,0.09166666666666667,0.0,0.0,0.18333333333333335,0.09000000000000001,0.0,0.09166666666666667,0.0,0.0,0.0,0.0,0.09166666666666667,0.0,0.36000000000000004
2018-05-01,0.03803604730785418,0.036936047307854186,0.27499999999999997,5,True,0.0010999999999999998,2.0969360503563266,-0.046160616156258216,6.106226635438361e-17,0.09166666666666667,0.0,0.0,0.0,0.3666666666666667,0.09000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09166666666666667,0.36000000000000004
2018-06-01,-0.004827721337769519,-0.005927721337769519,0.27499999999999997,4,True,0.0010999999999999998,2.1743008444391383,-0.010969467858432225,6.106226635438361e-17,0.09166666666666667,0.0,0.0,0.0,0.09166666666666667,0.09000000000000001,0.0,0.09166666666666667,0.09166666666666667,0.0,0.09166666666666667,0.0,0.0,0.09166666666666667,0.36000000000000004
2018-07-01,0.01899263127449173,0.018625964607825063,0.09166666666666667,2,True,0.00036666666666666667,2.1629733675991405,-0.016525627208941907,6.106226635438361e-17,0.09166666666666667,0.0,0.09166666666666667,0.0,0.0,0.09000000000000001,0.0,0.09166666666666667,0.09166666666666667,0.0,0.09166666666666667,0.0,0.0,0.09166666666666667,0.36000000000000004
2018-08-01,0.028976182165157734,0.028609515498491066,0.09166666666666667,2,True,0.00036666666666666667,2.202437913338936,-0.01853330174336565,6.106226635438361e-17,0.0,0.0,0.09166666666666667,0.0,0.09166666666666667,0.09000000000000001,0.0,0.09166666666666667,0.09166666666666667,0.0,0.09166666666666667,0.0,0.0,0.09166666666666667,0.36000000000000004
2018-09-01,0.006677286152063783,0.006677286152063783,0.0,0,False,0.0,2.2748733857216186,-0.002464360863895232,6.106226635438361e-17,0.0,0.0,0.09166666666666667,0.0,0.09166666666666667,0.09000000000000001,0.0,0.09166666666666667,0.09166666666666667,0.0,0.09166666666666667,0.0,0.0,0.09166666666666667,0.36000000000000004
2018-10-01,-0.06611630569661718,-0.06648297236328385,0.09166666666666667,2,True,0.00036666666666666667,2.2892236763768277,0.0,6.106226635438361e-17,0.09166666666666667,0.0,0.09166666666666667,0.0,0.0,0.09000000000000001,0.0,0.09166666666666667,0.09166666666666667,0.0,0.09166666666666667,0.0,0.0,0.09166666666666667,0.36000000000000004
2018-11-01,0.006658653319479941,0.004458653319479941,0.55,7,True,0.0022,2.133165352920805,-0.06961229802031788,6.106226635438361e-17,0.0,0.0,0.0,0.0,0.5499999999999999,0.09000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36000000000000004
