date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ief.us,w_ivv.us,w_lqd.us,w_spy.us,w_tlt.us,w_vea.us,w_vt.us,w_vwo.us,w_xlk.us
2012-07-01,0.00836852367475005,0.00636852367475005,0.5,2,True,0.002,1.771240354536272,-0.004337900297061492,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.4
2012-08-01,0.01612288998136842,0.014122889981368418,0.5,2,True,0.002,1.7789259135434592,-0.006556391215268742,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.4
2012-09-01,0.02289826486948339,0.020898264869483388,0.5,2,True,0.002,1.8092388614300352,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.4
2012-10-01,-0.02024014313848237,-0.02224014313848237,0.5,2,True,0.002,1.8432720255920265,-0.019370093922655096,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.4
2012-11-01,0.003827465726058254,0.0018274657260582538,0.5,2,True,0.002,1.8023520080789812,-0.0411397472203624,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.4
2012-12-01,0.04013067952948359,0.04013067952948359,0.0,0,False,0.0,1.810048566298624,-0.037045139881207834,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.4
2013-01-01,-0.004115695650751638,-0.006115695650751638,0.5,2,True,0.002,1.7994600939486007,-0.04267825995352659,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.4
2013-02-01,-0.010775641887961828,-0.012775641887961828,0.5,2,True,0.002,1.784893015827026,-0.050428018129123675,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.4
2013-03-01,0.025066278775263906,0.023066278775263904,0.5,2,True,0.002,1.76212832858439,-0.06253894522110093,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.4
2013-04-01,0.014740364278829743,0.014740364278829743,0.0,0,False,0.0,1.8062983285064755,-0.03904028508106039,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.4
