date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ivv.us,w_vt.us,w_xlk.us
2010-06-01,-0.010624360191184314,-0.010624360191184314,0.0,0,False,0.0,1.090269194657317,-0.041215825909368564,0.0,0.0,0.8,0.0,0.0,0.2
2010-07-01,0.00933565685878981,0.00933565685878981,0.0,0,False,0.0,1.0639046679028688,-0.06440082566302963,0.0,0.0,0.8,0.0,0.0,0.2
2010-08-01,-0.018122987931072677,-0.02132298793107268,0.8,3,True,0.0032,1.0543702982691525,-0.07278536294935611,0.0,0.0,0.0,0.2,0.0,0.8
2010-09-01,0.08439777197581293,0.08119777197581293,0.8,3,True,0.0032,1.0064220612269155,-0.11495110612262127,0.0,0.0,0.8,0.0,0.0,0.2
2010-10-01,0.044956026232911436,0.044956026232911436,0.0,0,False,0.0,1.0631809623776072,-0.06503725326065679,0.0,0.0,0.8,0.0,0.0,0.2
2010-11-01,-0.009525006737672738,-0.009525006737672738,0.0,0,False,0.0,1.0705653167310638,-0.05854344225997388,0.0,0.0,0.8,0.0,0.0,0.2
2010-12-01,-0.0024944571672951285,-0.0024944571672951285,0.0,0,False,0.0,1.0547610359734225,-0.07244174769460021,0.0,0.0,0.8,0.0,0.0,0.2
2011-01-01,0.0006022725117135422,0.0006022725117135422,0.0,0,False,0.0,1.075938951171333,-0.05381786101460262,0.0,0.0,0.8,0.0,0.0,0.2
2011-02-01,-0.03542325856397067,-0.03862325856397067,0.8,3,True,0.0032,1.0590362204050272,-0.06868214484199509,0.0,0.0,0.0,0.2,0.0,0.8
2011-03-01,0.03052106179344705,0.02732106179344705,0.8,3,True,0.0032,1.0311453707338103,-0.09320939499062353,0.0,0.0,0.8,0.0,0.0,0.2
2011-04-01,0.03631327244842364,0.03631327244842364,0.0,0,False,0.0,1.0393406545529364,-0.08600245154357056,0.0,0.0,0.8,0.0,0.0,0.2
2011-05-01,0.009964838761241613,0.009164838761241613,0.2,2,True,0.0008,1.1025651476661977,-0.030402748544578584,0.0,0.2,0.8,0.0,0.0,0.0
2011-06-01,0.008731192284752366,0.008731192284752366,0.0,0,False,0.0,1.1132057902806922,-0.021045353333446037,0.0,0.2,0.8,0.0,0.0,0.0
2011-07-01,0.09166415063984201,0.09086415063984202,0.2,2,True,0.0008,1.0776004379822224,-0.05235674731209028,0.0,0.0,0.8,0.2,0.0,0.0
2011-08-01,0.017459689898503418,0.017459689898503418,0.0,0,False,0.0,1.106481975137842,-0.026958285277287608,0.0,0.0,0.8,0.2,0.0,0.0
2011-09-01,-0.054397871350995074,-0.054397871350995074,0.0,0,False,0.0,1.140436226816214,-0.01517547584359058,0.0,0.0,0.8,0.2,0.0,0.0
2011-10-01,0.044042160307380444,0.04324216030738044,0.2,2,True,0.0008,1.038310744935087,-0.1033660091964329,0.0,0.0,0.8,0.0,0.0,0.2
2011-11-01,0.0009871483776711543,-0.0022128516223288456,0.8,3,True,0.0032,1.0607669289686783,-0.08397395531807572,0.0,0.0,0.0,0.2,0.0,0.8
2011-12-01,0.022441840483281975,0.022441840483281975,0.0,0,False,0.0,1.0613245339516573,-0.08349243513385418,0.0,0.0,0.0,0.2,0.0,0.8
2012-01-01,0.07002698671605075,0.07002698671605075,0.0,0,False,0.0,1.0601426097708941,-0.08451308661049006,0.0,0.0,0.0,0.2,0.0,0.8
2012-02-01,0.03856753208910124,0.03856753208910124,0.0,0,False,0.0,1.107275244672776,-0.04381166583129559,0.0,0.0,0.0,0.2,0.0,0.8
2012-03-01,-0.015513555348726006,-0.018713555348726006,0.8,3,True,0.0032,1.1471955747779274,-0.009338436048225707,0.0,0.0,0.8,0.0,0.0,0.2
2012-04-01,-0.038039763139104156,-0.038039763139104156,0.0,0,False,0.0,1.1361687111846666,-0.018860692037486637,0.0,0.0,0.8,0.0,0.0,0.2
2012-05-01,-0.02641801900832821,-0.029618019008328212,0.8,3,True,0.0032,1.1402124105458666,-0.015368752544874131,0.0,0.0,0.0,0.2,0.0,0.8
2012-06-01,0.01814464217543721,0.01814464217543721,0.0,0,False,0.0,1.0772417318615957,-0.06974712742706501,0.0,0.0,0.0,0.2,0.0,0.8
2012-07-01,0.06150011753847182,0.06150011753847182,0.0,0,False,0.0,1.1131634709272722,-0.03872688381292855,0.0,0.0,0.0,0.2,0.0,0.8
2012-08-01,0.020482254142891287,0.020482254142891287,0.0,0,False,0.0,1.1457456371324788,-0.010590530745113624,0.0,0.0,0.0,0.2,0.0,0.8
2012-09-01,-0.01409094685126342,-0.01409094685126342,0.0,0,False,0.0,1.1573318839906044,-0.008997014722142982,0.0,0.0,0.0,0.2,0.0,0.8
2012-10-01,-0.05652299779669794,-0.05652299779669794,0.0,0,False,0.0,1.1638548513536082,-0.02168794253861439,0.0,0.0,0.0,0.2,0.0,0.8
2012-11-01,0.024160676104829325,0.024160676104829325,0.0,0,False,0.0,1.1408076586982354,-0.04106093087918217,0.0,0.0,0.0,0.2,0.0,0.8
2012-12-01,0.03242977599099035,0.03242977599099035,0.0,0,False,0.0,1.1772149007088888,-0.010457764344702136,0.0,0.0,0.0,0.2,0.0,0.8
