date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ivv.us,w_tlt.us,w_vt.us,w_xlk.us
2015-05-01,0.007902684301489816,0.007902684301489816,0.0,0,False,0.0,2.2020286259426918,-0.023712487516566072,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2015-06-01,-0.03258863748369487,-0.03258863748369487,0.0,0,False,0.0,2.2194305629963607,-0.015997195517922558,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2015-07-01,0.01496284411235993,0.01496284411235993,0.0,0,False,0.0,2.14710234495864,-0.04806450619612779,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2015-08-01,-0.05299015739456589,-0.05299015739456589,0.0,0,False,0.0,2.1901091971335553,-0.028997064367747294,0.0,0.0,0.0,0.12,0.4,0.0,0.48
2015-09-01,0.01717053555051993,0.01717053555051993,0.0,0,False,0.0,2.074054966066163,-0.08045066275748547,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2015-10-01,0.11053615195133909,0.11053615195133909,0.0,0,False,0.0,2.109667600594733,-0.06466150817190641,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2015-11-01,0.005974415482539008,0.005974415482539008,0.0,0,False,0.0,2.3205634443604284,-0.008555212105716192,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2015-12-01,-0.0418148912325792,-0.0418148912325792,0.0,0,False,0.0,2.3344274545306303,-0.0026319090148375635,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2016-01-01,-0.023965826666997758,-0.023965826666997758,0.0,0,False,0.0,2.2436536360851385,-0.041677730557559856,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2016-02-01,0.020089752914658556,0.020089752914658556,0.0,0,False,0.0,2.1898826219419436,-0.06464471595814092,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2016-03-01,0.0,-0.004,1.0,3,True,0.004,2.2249413154379463,-0.04967024477666249,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,-0.03947633558143302,-0.04347633558143302,1.0,3,True,0.004,2.216041550176195,-0.05347156379755558,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2016-05-01,0.033209328265902505,0.033209328265902505,0.0,0,False,0.0,2.1130436258455205,-0.09746463073308287,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2016-06-01,-0.006531497012303511,-0.006531497012303511,0.0,0,False,0.0,2.1832163852563977,-0.06749203738351017,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2016-07-01,0.06312333383453789,0.06312333383453789,0.0,0,False,0.0,2.1689567139588823,-0.07358271035528952,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2016-08-01,0.010830758456537871,0.010830758456537871,0.0,0,False,0.0,2.3058684926867707,-0.015104162510958807,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2016-09-01,0.011227282054282273,0.011227282054282273,0.0,0,False,0.0,2.330842797363603,-0.0049052171168801895,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2016-10-01,-0.014863859533329539,-0.014863859533329539,0.0,0,False,0.0,2.363955743505785,-0.0029011699375803834,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2016-11-01,-0.00037654523167853643,-0.00037654523167853643,0.0,0,False,0.0,2.328818237391307,-0.0203577118714805,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2016-12-01,0.049274907222104904,0.049274907222104904,0.0,0,False,0.0,2.3279413319885727,-0.027055510196705934,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2017-01-01,0.029514387743200345,0.029514387743200345,0.0,0,False,0.0,2.3880018769729268,-0.02931582190716442,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2017-02-01,0.052317809331934355,0.052317809331934355,0.0,0,False,0.0,2.4584822903013968,-0.005590989821678383,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2017-03-01,0.0029060376893529803,0.0029060376893529803,0.0,0,False,0.0,2.5871046980113235,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2017-04-01,0.014388599157962628,0.014388599157962628,0.0,0,False,0.0,2.5974815691520066,-0.002026435339296473,0.0,0.0,0.0,0.12,0.4,0.0,0.48
2017-05-01,0.031351127943209316,0.031351127943209316,0.0,0,False,0.0,2.634855690270731,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2017-06-01,-0.02974087441104838,-0.02974087441104838,0.0,0,False,0.0,2.717461388128303,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2017-07-01,0.03150564433496629,0.03150564433496629,0.0,0,False,0.0,2.650345433619854,-0.035487556060834424,0.0,0.0,0.0,0.12,0.4,0.0,0.48
2017-08-01,0.01899460366461798,0.01899460366461798,0.0,0,False,0.0,2.7338462742162832,-0.00509997004543794,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2017-09-01,0.012978254282215974,0.012978254282215974,0.0,0,False,0.0,2.7857746006750146,-0.0003291618710005162,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2017-10-01,0.05513879181413862,0.05513879181413862,0.0,0,False,0.0,2.8163270149709945,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2017-11-01,0.012419549101875395,0.012419549101875395,0.0,0,False,0.0,2.9716158839300135,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2017-12-01,0.011207105430857709,0.011207105430857709,0.0,0,False,0.0,3.0085220133123958,-0.013659358204839211,0.0,0.0,0.0,0.12,0.4,0.0,0.48
2018-01-01,0.056145120330860235,0.056145120330860235,0.0,0,False,0.0,2.9120059532809712,-0.049572485462984095,0.0,0.0,0.0,0.2,0.0,0.0,0.8
