date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ivv.us,w_rsp.us,w_tlt.us,w_xle.us,w_xlf.us,w_xli.us,w_xlp.us,w_xlv.us
2012-05-01,-0.023235576971293803,-0.023635576971293804,0.1,2,True,0.0004,1.4360261561683003,-0.029014790413238067,0.0,0.05,0.05,0.2,0.0,0.2,0.0,0.0,0.0,0.25,0.25
2012-06-01,0.044438754939381014,0.044438754939381014,0.0,0,False,0.0,1.4026592598838605,-0.0515761919885791,0.0,0.05,0.05,0.2,0.0,0.2,0.0,0.0,0.0,0.25,0.25
2012-07-01,0.008175780448260783,0.006175780448260783,0.5,4,True,0.002,1.4584091677975408,-0.013880265777564293,0.0,0.05,0.05,0.2,0.0,0.2,0.0,0.25,0.25,0.0,0.0
2012-08-01,0.016648682684769767,0.014248682684769767,0.6,6,True,0.0024000000000000002,1.463870394230417,-0.010674207208376418,0.0,0.15000000000000002,0.05,0.1,0.0,0.2,0.0,0.0,0.0,0.25,0.25
2012-09-01,0.02759896038837232,0.02599896038837232,0.4,6,True,0.0016,1.4859996693682416,0.0,0.0,0.2,0.1,0.15000000000000002,0.0,0.05,0.0,0.25,0.0,0.0,0.25
2012-10-01,-0.006441345084964856,-0.006441345084964856,0.0,0,False,0.0,1.5245684966356614,-0.009575240937025553,0.0,0.2,0.1,0.15000000000000002,0.0,0.05,0.0,0.25,0.0,0.0,0.25
2012-11-01,-0.0063061617899423765,-0.006906161789942376,0.15,4,True,0.0006,1.513839375908259,-0.019947632405488136,0.0,0.05,0.15000000000000002,0.2,0.0,0.1,0.0,0.25,0.0,0.0,0.25
2012-12-01,0.005806390168627841,0.004206390168627841,0.4,5,True,0.0016,1.507555718686725,-0.024015642020723482,0.0,0.2,0.05,0.15000000000000002,0.0,0.1,0.0,0.0,0.0,0.25,0.25
2013-01-01,0.032335603645657296,0.032335603645657296,0.0,0,False,0.0,1.4712250462388654,-0.04753594550567075,0.0,0.2,0.05,0.15000000000000002,0.0,0.1,0.0,0.0,0.0,0.25,0.25
2013-02-01,-0.006867805239864877,-0.007867805239864877,0.25,2,True,0.001,1.5172791982114018,-0.017720707907453503,0.0,0.2,0.05,0.15000000000000002,0.0,0.1,0.0,0.25,0.0,0.0,0.25
2013-03-01,0.029168398566433364,0.028568398566433364,0.15000000000000002,3,True,0.0006000000000000001,1.5059547048914774,-0.025052130690231378,0.0,0.05,0.05,0.2,0.0,0.2,0.0,0.25,0.0,0.0,0.25
2013-04-01,0.014864752270730953,0.014864752270730953,0.0,0,False,0.0,1.549880991946748,0.0,0.0,0.05,0.05,0.2,0.0,0.2,0.0,0.25,0.0,0.0,0.25
2013-05-01,0.019116551894233152,0.019116551894233152,0.0,0,False,0.0,1.5729195889411514,-0.007329252795538532,0.0,0.05,0.05,0.2,0.0,0.2,0.0,0.25,0.0,0.0,0.25
2013-06-01,-0.021350052324824433,-0.021950052324824432,0.15000000000000002,3,True,0.0006000000000000001,1.5945747640209573,-0.018827140552329924,0.0,0.15000000000000002,0.05,0.25,0.0,0.05,0.0,0.25,0.0,0.0,0.25
2013-07-01,0.054352272104539384,0.054352272104539384,0.0,0,False,0.0,1.5595941910676414,-0.04035136730177047,0.0,0.15000000000000002,0.05,0.25,0.0,0.05,0.0,0.25,0.0,0.0,0.25
2013-08-01,-0.024574182003100808,-0.024574182003100808,0.0,0,False,0.0,1.6443616789132092,-0.00011488443419804817,0.0,0.15000000000000002,0.05,0.25,0.0,0.05,0.0,0.25,0.0,0.0,0.25
2013-09-01,-0.0032450881042304647,-0.0038450881042304645,0.15000000000000002,2,True,0.0006000000000000001,1.5976387250074573,-0.028612173296587717,0.0,0.15000000000000002,0.2,0.1,0.0,0.05,0.0,0.25,0.0,0.0,0.25
2013-10-01,0.025762138845944825,0.024962138845944826,0.20000000000000004,4,True,0.0008000000000000001,1.590225575018895,-0.03311947744720678,0.0,0.1,0.05,0.2,0.0,0.15000000000000002,0.0,0.25,0.0,0.0,0.25
2013-11-01,0.02018085014623679,0.01858085014623679,0.4,5,True,0.0016,1.6285832779795775,-0.011546429859287888,0.0,0.05,0.05,0.35000000000000003,0.0,0.05,0.0,0.0,0.25,0.0,0.25
2013-12-01,0.010421710318523809,0.009821710318523809,0.15000000000000002,3,True,0.0006000000000000001,1.6671947045681441,-0.0006397547880199195,0.0,0.15000000000000002,0.05,0.2,0.0,0.1,0.0,0.0,0.25,0.0,0.25
2014-01-01,-0.026406601819088986,-0.026806601819088987,0.10000000000000003,3,True,0.0004000000000000002,1.6538429710244917,-0.024669600287926752,0.0,0.1,0.05,0.30000000000000004,0.0,0.05,0.0,0.0,0.25,0.0,0.25
2014-02-01,0.04850206775879333,0.04730206775879333,0.30000000000000004,4,True,0.0012000000000000001,1.6378693931793924,-0.034089790921165486,0.0,0.05,0.1,0.05,0.0,0.30000000000000004,0.0,0.0,0.25,0.0,0.25
2014-03-01,-0.0005350539728986086,-0.0015350539728986089,0.25000000000000006,4,True,0.0010000000000000002,1.7139310210934304,0.0,0.0,0.1,0.15000000000000002,0.2,0.0,0.05,0.0,0.0,0.25,0.0,0.25
2014-04-01,0.006369887790970153,0.005969887790970153,0.10000000000000002,2,True,0.0004000000000000001,1.710616441131223,-0.010464972989394639,0.0,0.1,0.05,0.2,0.0,0.15000000000000002,0.0,0.0,0.25,0.0,0.25
2014-05-01,0.01754835913163727,0.01754835913163727,0.0,0,False,0.0,1.7215128759146179,-0.004161745902102276,0.0,0.1,0.05,0.2,0.0,0.15000000000000002,0.0,0.0,0.25,0.0,0.25
2014-06-01,0.019861500151040733,0.019861500151040733,0.0,0,False,0.0,1.7516404035498718,-0.00011824483253330964,0.0,0.1,0.05,0.2,0.0,0.15000000000000002,0.0,0.0,0.25,0.0,0.25
2014-07-01,-0.024856897347444444,-0.026656897347444444,0.45,6,True,0.0018,1.7832150345921054,0.0,0.0,0.05,0.25,0.15000000000000002,0.0,0.05,0.25,0.0,0.0,0.0,0.25
2014-08-01,0.023656433827023933,0.023056433827023933,0.15000000000000002,2,True,0.0006000000000000001,1.7378465076239127,-0.027411684986689888,0.0,0.05,0.1,0.15000000000000002,0.0,0.2,0.25,0.0,0.0,0.0,0.25
2014-09-01,-0.030632538940619625,-0.030632538940619625,0.0,0,False,0.0,1.7950642057450301,0.0,0.0,0.05,0.1,0.15000000000000002,0.0,0.2,0.25,0.0,0.0,0.0,0.25
2014-10-01,0.028947934573564475,0.027947934573564474,0.25,2,True,0.001,1.7383367547300717,-0.03483928862924479,0.0,0.05,0.1,0.15000000000000002,0.0,0.2,0.0,0.0,0.0,0.25,0.25
2014-11-01,0.027838579328537214,0.027838579328537214,0.0,0,False,0.0,1.7878478099515394,-0.007349721289521383,0.0,0.05,0.1,0.15000000000000002,0.0,0.2,0.0,0.0,0.0,0.25,0.25
2014-12-01,-0.001314205124822443,-0.001314205124822443,0.0,0,False,0.0,1.8376189530362268,0.0,0.0,0.05,0.1,0.15000000000000002,0.0,0.2,0.0,0.0,0.0,0.25,0.25
2015-01-01,0.02458680834728731,0.02458680834728731,0.0,0,False,0.0,1.797108427023969,-0.02924925164293468,0.0,0.05,0.1,0.15000000000000002,0.0,0.2,0.0,0.0,0.0,0.25,0.25
2015-02-01,0.007023427006552396,0.007023427006552396,0.0,0,False,0.0,1.8318254492526613,-0.01643001380753739,0.0,0.05,0.1,0.15000000000000002,0.0,0.2,0.0,0.0,0.0,0.25,0.25
2015-03-01,-0.0046586883648980955,-0.0046586883648980955,0.0,0,False,0.0,1.8462915709891756,-0.008662656299513571,0.0,0.05,0.1,0.15000000000000002,0.0,0.2,0.0,0.0,0.0,0.25,0.25
2015-04-01,-0.004863572095952805,-0.004863572095952805,0.0,0,False,0.0,1.837690273929199,-0.013280988048300024,0.0,0.05,0.1,0.15000000000000002,0.0,0.2,0.0,0.0,0.0,0.25,0.25
2015-05-01,0.004182666523911209,0.0033826665239112094,0.2,4,True,0.0008,1.82728953276408,-0.018865503127693084,0.0,0.15000000000000002,0.05,0.25,0.0,0.05,0.0,0.0,0.0,0.25,0.25
2015-06-01,-0.010141703374617134,-0.010741703374617134,0.15,4,True,0.0006,1.8338315160369516,-0.015352887665343817,0.0,0.05,0.15000000000000002,0.2,0.0,0.1,0.0,0.0,0.0,0.25,0.25
2015-07-01,-0.005308830752151307,-0.005708830752151307,0.1,3,True,0.0004,1.814507247425976,-0.025728751052672028,0.0,0.15000000000000002,0.1,0.2,0.0,0.05,0.0,0.0,0.0,0.25,0.25
2015-08-01,-0.056721629893526276,-0.05732162989352628,0.15000000000000002,3,True,0.0006000000000000001,1.8102490308779067,-0.028015133738914177,0.0,0.05,0.1,0.15000000000000002,0.0,0.2,0.0,0.0,0.0,0.25,0.25
2015-09-01,-0.0014434987794657407,-0.003843498779465741,0.6,5,True,0.0024000000000000002,1.7024485079663434,-0.08589693621901617,0.5,0.05,0.2,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2015-10-01,0.013694460867862225,0.013294460867862226,0.1,2,True,0.0004,1.6993110292127411,-0.08758155629873976,0.5,0.05,0.1,0.15000000000000002,0.0,0.2,0.0,0.0,0.0,0.0,0.0
