date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_tlt.us
2008-11-01,0.18001639086416277,0.18001639086416277,0.0,0,False,0.0,1.026278804381862,-0.06398650374165127,0.0,1.0
2008-12-01,0.06356878679544953,0.06356878679544953,0.0,0,False,0.0,1.2110258107670735,0.0,0.0,1.0
2009-01-01,-0.09422569789362178,-0.09422569789362178,0.0,0,False,0.0,1.2679290427830203,-0.06334284635848231,0.0,1.0
2009-02-01,-0.020055199131960855,-0.020055199131960855,0.0,0,False,0.0,1.1306119214947459,-0.1647831159888805,0.0,1.0
2009-03-01,0.029907778281450748,0.029907778281450748,0.0,0,False,0.0,1.0929443430410615,-0.19260928419586132,0.0,1.0
2009-04-01,-0.08706299660296868,-0.08706299660296868,0.0,0,False,0.0,1.1256318801266985,-0.16846202168109004,0.0,1.0
2009-05-01,-0.0619559392817568,-0.0619559392817568,0.0,0,False,0.0,1.027630995571035,-0.24085820986270834,0.0,1.0
2009-06-01,0.03285801911592223,0.03285801911592223,0.0,0,False,0.0,0.9639631520053847,-0.28789155251869847,0.0,1.0
2009-07-01,-0.010856034366021672,-0.010856034366021672,0.0,0,False,0.0,0.9956370716810224,-0.2644930795387481,0.0,1.0
2009-08-01,0.03222619363756163,0.03222619363756163,0.0,0,False,0.0,1.0034032653304001,-0.25875595972146836,0.0,1.0
2009-09-01,0.03788180213002246,0.03788180213002246,0.0,0,False,0.0,1.035739133255499,-0.2348684857467641,0.0,1.0
2009-10-01,-0.046605041861553675,-0.046605041861553675,0.0,0,False,0.0,1.074974798159805,-0.20588392512037834,0.0,1.0
2009-11-01,0.0021655193128471417,0.0021655193128471417,0.0,0,False,0.0,1.0327633992740624,-0.2370667495509664,0.0,1.0
2009-12-01,-0.057213112640833175,-0.057213112640833175,0.0,0,False,0.0,1.0349998683607924,-0.23541460286270544,0.0,1.0
2010-01-01,0.014929429177932718,0.014929429177932718,0.0,0,False,0.0,0.9766865636497502,-0.2784923873183631,0.0,1.0
2010-02-01,0.0021184835160763527,0.0021184835160763527,0.0,0,False,0.0,0.9912679365307974,-0.26772069051349356,0.0,1.0
2010-03-01,-0.026132664738631295,-0.026132664738631295,0.0,0,False,0.0,0.9933679213143533,-0.26616936886718234,0.0,1.0
2010-04-01,0.030759514639499663,0.030759514639499663,0.0,0,False,0.0,0.9674085704645344,-0.2853463187255143,0.0,1.0
2010-05-01,0.05633510447741208,0.05633510447741208,0.0,0,False,0.0,1.0019865393091845,-0.25980253765899175,0.0,1.0
2010-06-01,0.04895674526074245,0.04895674526074245,0.0,0,False,0.0,1.0584335556861275,-0.218103436284096,0.0,1.0
2010-07-01,-0.02802093373903547,-0.02802093373903547,0.0,0,False,0.0,1.1102510176472753,-0.1798243253940065,0.0,1.0
2010-08-01,0.07339228508232676,0.07339228508232676,0.0,0,False,0.0,1.098056502936103,-0.18883277859130498,0.0,1.0
2010-09-01,-0.013061711518634,-0.013061711518634,0.0,0,False,0.0,1.1786453788360929,-0.1292993626282386,0.0,1.0
2010-10-01,-0.047273266152934035,-0.047273266152934035,0.0,0,False,0.0,1.1632502529149644,-0.1406722031726796,0.0,1.0
2010-11-01,-0.037868322529873266,-0.037868322529873266,0.0,0,False,0.0,1.108259614106448,-0.18129543482471155,0.0,1.0
2010-12-01,-0.02593558920510919,-0.02593558920510919,0.0,0,False,0.0,1.0662916815926318,-0.21229840335544925,0.0,1.0
2011-01-01,-0.02825629337246549,-0.02825629337246549,0.0,0,False,0.0,1.0466483884411606,-0.22680949224968128,0.0,1.0
2011-02-01,0.02459659554031335,0.02459659554031335,0.0,0,False,0.0,1.017073984519549,-0.24865699006947994,0.0,1.0
2011-03-01,0.002247943923536777,0.002247943923536777,0.0,0,False,0.0,1.0420905419513509,-0.23017650994217753,0.0,1.0
2011-04-01,0.020149889089978057,0.020149889089978057,0.0,0,False,0.0,1.0444331030529055,-0.22844598990550613,0.0,1.0
2011-05-01,0.046514443448993914,0.046514443448993914,0.0,0,False,0.0,1.0636723750661161,-0.21423336352503086,0.0,1.0
2011-06-01,-0.03779114607434819,-0.03779114607434819,0.0,0,False,0.0,1.113148503604386,-0.17768386574860973,0.0,1.0
2011-07-01,0.05633376082077568,0.05633376082077568,0.0,0,False,0.0,1.0710813459022304,-0.20876013489739753,0.0,1.0
2011-08-01,0.10870320711565995,0.10870320711565995,0.0,0,False,0.0,1.131419386261881,-0.16418661758484465,0.0,1.0
2011-09-01,0.13876014618722365,0.13876014618722365,0.0,0,False,0.0,1.2544083021413799,-0.07333102236612932,0.0,1.0
2011-10-01,-0.03207307222601519,-0.03207307222601519,0.0,0,False,0.0,1.3909582960425773,-0.018618574235643726,0.0,1.0
2011-11-01,-0.018634951897583574,-0.018634951897583574,0.0,0,False,0.0,1.346345990150228,-0.050094491585454204,0.0,1.0
2011-12-01,0.02448576725234264,0.02448576725234264,0.0,0,False,0.0,1.3212568973862744,-0.06779593504200865,0.0,1.0
2012-01-01,0.00041007651879620965,0.00041007651879620965,0.0,0,False,0.0,1.3531895637865698,-0.045266053470763956,0.0,1.0
2012-02-01,-0.024483385744817232,-0.024483385744817232,0.0,0,False,0.0,1.3537444750521594,-0.044874539497594235,0.0,1.0
2012-03-01,-0.027340600703449014,-0.027340600703449014,0.0,0,False,0.0,1.3206002268695423,-0.0682592445817709,0.0,1.0
2012-04-01,0.03693534850131086,0.03693534850131086,0.0,0,False,0.0,1.2771683918203598,-0.09890228853599758,0.0,1.0
2012-05-01,0.12188131360664589,0.12188131360664589,0.0,0,False,0.0,1.324341051467104,-0.06561993052934079,0.0,1.0
2012-06-01,-0.030015122771852032,-0.030015122771852032,0.0,0,False,0.0,1.4857534784831208,0.0,0.0,1.0
2012-07-01,0.022169509975991097,0.022169509975991097,0.0,0,False,0.0,1.426937639217386,-0.039586539838212476,0.0,1.0
2012-08-01,-0.008630347007638761,-0.008630347007638761,0.0,0,False,0.0,1.458572147445132,-0.024160210843141572,0.0,1.0
2012-09-01,-0.020796420398358162,-0.020796420398358162,0.0,0,False,0.0,1.447386119516278,-0.031644085504203834,0.0,1.0
2012-10-01,-0.014556957612129051,-0.014556957612129051,0.0,0,False,0.0,1.4172856692960698,-0.051782422197294564,0.0,1.0
2012-11-01,0.020847779837633196,0.020847779837633196,0.0,0,False,0.0,1.3966543018838493,-0.06558558528444403,0.0,1.0
2012-12-01,-0.038919450945780754,-0.038919450945780754,0.0,0,False,0.0,1.4245130715158387,-0.046947017469016306,0.0,1.0
2013-01-01,-0.031020116738626702,-0.031020116738626702,0.0,0,False,0.0,1.3820870232428515,-0.07533164422470306,0.0,1.0
2013-02-01,0.03064615567825313,0.03064615567825313,0.0,0,False,0.0,1.3392145224389174,-0.10401496456536663,0.0,1.0
2013-03-01,-0.0017091095539223389,-0.0017091095539223389,0.0,0,False,0.0,1.3802562991801577,-0.07655646768405189,0.0,1.0
2013-04-01,0.04951761588190329,0.04951761588190329,0.0,0,False,0.0,1.3778972899523672,-0.07813473384764102,0.0,1.0
2013-05-01,-0.07168121972261698,-0.07168121972261698,0.0,0,False,0.0,1.4461274786809442,-0.03248616370343982,0.0,1.0
2013-06-01,-0.03657367017491753,-0.03657367017491753,0.0,0,False,0.0,1.335081272467972,-0.10678026471678181,0.0,1.0
2013-07-01,-0.043021553163614,-0.043021553163614,0.0,0,False,0.0,1.2862524503520192,-0.13944858870875743,0.0,1.0
2013-08-01,-0.008117619583220326,-0.008117619583220326,0.0,0,False,0.0,1.2309158721773712,-0.17647084699964655,0.0,1.0
2013-09-01,0.017443890240569138,0.017443890240569138,0.0,0,False,0.0,1.2482880618085415,-0.16484819679576834,0.0,1.0
2013-10-01,0.006598048382141508,0.006598048382141508,0.0,0,False,0.0,1.270063061747342,-0.15027990040646055,0.0,1.0
2013-11-01,-0.02384752592984085,-0.02384752592984085,0.0,0,False,0.0,1.2784429992771216,-0.14467340607806445,0.0,1.0
2013-12-01,-0.008176762078015654,-0.008176762078015654,0.0,0,False,0.0,1.261265900962199,-0.15616553283183643,0.0,1.0
2014-01-01,0.0725244281893116,0.0725244281893116,0.0,0,False,0.0,1.2470826539102953,-0.1656546601519575,0.0,1.0
2014-02-01,-0.00020867715226946526,-0.00020867715226946526,0.0,0,False,0.0,1.3222316544917447,-0.11537714387605524,0.0,1.0
2014-03-01,-0.008047201424391526,-0.008047201424391526,0.0,0,False,0.0,1.3130977083785025,-0.12148809839066677,0.0,1.0
2014-04-01,0.041230870292629396,0.041230870292629396,0.0,0,False,0.0,1.3025309466292725,-0.1285576606166431,0.0,1.0
2014-05-01,0.010574799889594422,0.010574799889594422,0.0,0,False,0.0,1.3562354311418794,-0.09262733455402272,0.0,1.0
2014-06-01,-0.0035043053939967095,-0.0035043053939967095,0.0,0,False,0.0,1.3812076153611947,-0.07592000127191667,0.0,1.0
2014-07-01,0.023418495949881324,0.023418495949881324,0.0,0,False,0.0,1.3763674420644565,-0.07915825979594304,0.0,1.0
2014-08-01,0.021312794491624265,0.021312794491624265,0.0,0,False,0.0,1.408599897431991,-0.057593531232493,0.0,1.0
2014-09-01,0.01508033597705527,0.01508033597705527,0.0,0,False,0.0,1.4634130916870274,-0.02092143652772238,0.0,1.0
2014-10-01,0.008874337307852365,0.008874337307852365,0.0,0,False,0.0,1.4854818527828888,-0.006156602842627867,0.0,1.0
2014-11-01,0.023798528124078455,0.023798528124078455,0.0,0,False,0.0,1.4986645198091784,-0.026903584919932055,0.0,1.0
2014-12-01,0.05021767019755008,0.05021767019755008,0.0,0,False,0.0,1.5343305295324152,-0.005816657619765908,0.0,1.0
2015-01-01,0.08190861761200585,0.08190861761200585,0.0,0,False,0.0,1.5530769502519413,-0.03618267967349831,0.0,1.0
2015-02-01,-0.0753488463503793,-0.0753488463503793,0.0,0,False,0.0,1.6861489573406885,0.0,0.0,1.0
2015-03-01,0.04379666766564427,0.04379666766564427,0.0,0,False,0.0,1.5882166491338368,-0.058080460673715195,0.0,1.0
2015-04-01,-0.06001183090962592,-0.06001183090962592,0.0,0,False,0.0,1.6577752458969948,-0.016827523642064968,0.0,1.0
2015-05-01,-0.020795445560211845,-0.020795445560211845,0.0,0,False,0.0,1.5582891181540603,-0.07582950404825584,0.0,1.0
2015-06-01,-0.043278335280167,-0.043278335280167,0.0,0,False,0.0,1.5258838016304166,-0.09504804128517463,0.0,1.0
2015-07-01,0.07053012636040634,0.07053012636040634,0.0,0,False,0.0,1.4598460908648794,-0.13421285556687879,0.0,1.0
2015-08-01,-0.009857340192178765,-0.009857340192178765,0.0,0,False,0.0,1.5470124933457636,-0.08251730275026481,0.0,1.0
2015-09-01,0.016339762342628683,0.016339762342628683,0.0,0,False,0.0,1.5317630649173037,-0.09156124181749314,0.0,1.0
2015-10-01,-0.012818724094779466,-0.012818724094779466,0.0,0,False,0.0,1.5567917093632695,-0.076717568405958,0.0,1.0
2015-11-01,0.009347501353528465,0.009347501353528465,0.0,0,False,0.0,1.5440885862843183,-0.08425137674693983,0.0,1.0
2015-12-01,-0.009006738358666833,-0.009006738358666833,0.0,0,False,0.0,1.5585219564345794,-0.07569141525158973,0.0,1.0
2016-01-01,0.04483758561997453,0.04483758561997453,0.0,0,False,0.0,1.53347255548294,-0.09054739867024686,0.0,1.0
2016-02-01,0.016367299936440594,0.016367299936440594,0.0,0,False,0.0,1.6022297624852875,-0.04976973979081556,0.0,1.0
2016-03-01,0.018898899841460093,0.018898899841460093,0.0,0,False,0.0,1.6284539375749763,-0.03719882931443952,0.0,1.0
