date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_gld.us,w_hyg.us,w_iau.us,w_ief.us,w_ivv.us,w_lqd.us,w_qqq.us,w_shy.us,w_spy.us,w_tlt.us,w_vnq.us,w_vt.us,w_vwo.us,w_xle.us,w_xlk.us
2012-02-01,-0.0051781757018974734,-0.00704484236856414,0.4666666666666667,5,True,0.0018666666666666666,1.4365890066371818,-0.051710337673334994,0.0,0.0,0.06666666666666667,0.0,0.4,0.3,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.1
2012-03-01,0.01658842472708136,0.013521758060414694,0.7666666666666666,8,True,0.0030666666666666668,1.424205503686526,-0.059884664343832994,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.1,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.4
2012-04-01,-0.0023955249360535485,-0.003462191602720215,0.26666666666666666,4,True,0.0010666666666666667,1.4368186967121004,-0.05155871969312065,0.0,0.0,0.16666666666666666,0.0,0.1,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.4
2012-05-01,-0.027549491046819845,-0.02968282438015318,0.5333333333333333,7,True,0.0021333333333333334,1.4283233895339733,-0.05716645575269508,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.033333333333333326,0.033333333333333326,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.4
2012-06-01,0.02981342829023729,0.029413428290237287,0.09999999999999998,4,True,0.0003999999999999999,1.3877755348806746,-0.0839320172456477,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2012-07-01,0.010383262263469788,0.009583262263469788,0.19999999999999998,4,True,0.0007999999999999999,1.4216821171841905,-0.0615503469595039,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.4
2012-08-01,0.021111919658515825,0.020711919658515824,0.1,4,True,0.0004,1.433971085081209,-0.05343842269754262,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.033333333333333326,0.0,0.0,0.0,0.033333333333333326,0.033333333333333326,0.0,0.0,0.0,0.4
2012-09-01,0.004031105364265002,0.0028311053642650023,0.3,4,True,0.0012,1.4652148626233976,-0.032814464753825656,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.13333333333333333,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.4
2012-10-01,-0.02610051470645829,-0.027033848039791624,0.23333333333333334,5,True,0.0009333333333333334,1.467215550490295,-0.031493814510119233,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.1,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.4
2012-11-01,0.0012037296800991625,0.00027039634676582905,0.23333333333333334,5,True,0.0009333333333333334,1.4270742571083352,-0.05799100568356386,0.0,0.0,0.0,0.13333333333333333,0.0,0.1,0.1,0.13333333333333333,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.4
2012-12-01,0.01317671438754864,0.01277671438754864,0.09999999999999999,4,True,0.00039999999999999996,1.4283200025355323,-0.05716869150390369,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.1,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.4
2013-01-01,0.0037652459017837323,0.002831912568450399,0.23333333333333334,5,True,0.0009333333333333334,1.4178135108761645,-0.06410400660228532,0.0,0.0,0.0,0.13333333333333333,0.0,0.1,0.1,0.13333333333333333,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.4
2013-02-01,0.00036863039582830644,-0.0008313696041716935,0.3,6,True,0.0012,1.4187724846540724,-0.06347098984117205,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.09999999999999999,0.0,0.2,0.0,0.0,0.09999999999999999,0.0,0.09999999999999999,0.0,0.4
2013-03-01,0.013850443904235028,0.012383777237568361,0.36666666666666664,6,True,0.0014666666666666667,1.4163312610335386,-0.065082436895329,0.0,0.0,0.0,0.06666666666666667,0.0,0.3,0.1,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.4
2013-04-01,0.01991724044267408,0.01991724044267408,0.0,0,False,0.0,1.4349121611421776,-0.05281722018523294,0.0,0.0,0.0,0.06666666666666667,0.0,0.3,0.1,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.4
2013-05-01,-0.0011537997476902956,-0.0018204664143569621,0.16666666666666663,5,True,0.0006666666666666665,1.4614833382249937,-0.035277636889612274,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.09999999999999999,0.0,0.0,0.0,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,0.4
2013-06-01,-0.016571189906966082,-0.01857118990696608,0.49999999999999994,8,True,0.0019999999999999996,1.4536159961736916,-0.04047085436710185,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.06666666666666667,0.3,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.4
2013-07-01,0.023905553880601893,0.023105553880601894,0.19999999999999998,4,True,0.0007999999999999999,1.4251209410800358,-0.059280385866995244,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2013-08-01,-0.011437420392454812,-0.011437420392454812,0.0,0,False,0.0,1.4583052495673492,-0.03737548714885697,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2013-09-01,0.01851397003508386,0.01851397003508386,0.0,0,False,0.0,1.4407865707473426,-0.04893953361300274,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4
